corrected_timestamp,date,time,v_led_1,v_usb,v_pv,c_led,c_usb,c_dl,c_pv,voc,isc,time_step_min
2023-04-27 08:34:15,2000-03-20,22:58:15,13.497,5.307,13.761,0.045,-0.001,0.024,0.6,19.03,0.785,0.0
2023-04-27 08:44:15,2000-03-20,23:08:15,13.651,5.307,15.323,-0.001,-0.001,0.027,0.843,21.285,0.904,0.01
2023-04-27 08:54:15,2000-03-20,23:18:15,13.651,5.307,15.323,-0.001,-0.001,0.027,0.922,21.186,0.944,0.01
2023-04-27 09:04:15,2000-03-20,23:28:15,13.706,5.307,15.268,-0.001,-0.001,0.027,0.965,21.131,0.987,0.01
2023-04-27 09:14:15,2000-03-20,23:38:15,13.761,5.307,15.323,-0.001,-0.001,0.026,0.991,21.131,1.014,0.01
2023-04-27 09:24:15,2000-03-20,23:48:15,13.761,5.307,15.268,-0.001,-0.001,0.027,1.047,21.131,1.078,0.01
2023-04-27 09:34:15,2000-03-20,23:58:15,13.816,5.307,15.268,-0.001,-0.001,0.027,1.077,20.911,1.108,0.01
2023-04-27 09:44:15,2000-03-21,00:08:15,13.816,5.307,15.213,-0.001,-0.002,0.027,1.074,20.702,1.068,0.01
2023-04-27 09:54:15,2000-03-21,00:18:15,13.607,5.246,14.839,-0.001,-0.001,0.027,0.517,20.427,0.575,0.01
2023-04-27 10:04:15,2000-03-21,00:28:15,13.816,5.307,15.587,-0.001,-0.001,0.027,0.972,21.241,1.104,0.01
2023-04-27 10:14:15,2000-03-21,00:38:15,13.871,5.307,15.268,-0.001,-0.001,0.027,1.146,20.856,1.175,0.01
2023-04-27 10:24:15,2000-03-21,00:48:15,13.871,5.307,15.268,-0.001,-0.001,0.027,1.164,20.757,1.197,0.01
2023-04-27 10:34:15,2000-03-21,00:58:15,13.871,5.307,15.103,-0.001,-0.001,0.027,1.168,20.647,1.2,0.01
2023-04-27 10:44:15,2000-03-21,01:08:15,13.926,5.307,15.103,-0.001,-0.001,0.026,1.183,20.702,1.216,0.01
2023-04-27 10:54:15,2000-03-21,01:18:15,13.926,5.307,15.213,-0.001,-0.001,0.027,1.186,20.757,1.218,0.01
2023-04-27 11:04:15,2000-03-21,01:28:15,13.926,5.307,15.323,-0.001,-0.002,0.027,1.165,20.702,1.215,0.01
2023-04-27 11:14:15,2000-03-21,01:38:15,13.981,5.307,15.268,-0.001,-0.001,0.027,1.192,20.702,1.227,0.01
2023-04-27 11:24:15,2000-03-21,01:48:15,14.091,5.307,15.268,-0.001,-0.001,0.027,1.184,20.801,1.215,0.01
2023-04-27 11:34:15,2000-03-21,01:58:15,14.135,5.246,15.488,-0.001,-0.001,0.027,1.154,20.856,1.189,0.01
2023-04-27 11:44:15,2000-03-21,02:08:15,14.355,5.246,18.337,-0.001,-0.001,0.026,0.736,20.757,1.188,0.01
2023-04-27 11:54:15,2000-03-21,02:18:15,14.3,5.246,20.108,-0.001,-0.001,0.027,0.229,20.647,1.188,0.01
2023-04-27 12:04:15,2000-03-21,02:28:15,14.41,5.246,20.372,-0.001,-0.002,0.028,0.147,20.702,1.153,0.01
2023-04-27 12:14:15,2000-03-21,02:38:15,14.41,5.246,20.372,-0.001,-0.001,0.027,0.109,20.592,1.135,0.01
2023-04-27 12:24:15,2000-03-21,02:48:15,14.41,5.307,20.427,-0.001,-0.001,0.027,0.092,20.647,1.115,0.01
2023-04-27 12:34:15,2000-03-21,02:58:15,14.41,5.307,20.427,-0.001,-0.001,0.027,0.077,20.592,1.1,0.01
2023-04-27 12:44:15,2000-03-21,03:08:15,14.41,5.307,20.427,-0.001,-0.001,0.027,0.061,20.592,1.08,0.01
2023-04-27 12:54:15,2000-03-21,03:18:15,14.41,5.307,20.427,-0.001,-0.001,0.028,0.047,20.537,1.009,0.01
2023-04-27 13:04:15,2000-03-21,03:28:15,14.41,5.307,20.482,-0.001,-0.001,0.027,0.042,20.537,0.919,0.01
2023-04-27 13:14:15,2000-03-21,03:38:15,14.41,5.307,19.569,-0.001,-0.001,0.028,0.041,19.998,0.502,0.01
2023-04-27 13:24:15,2000-03-21,03:48:15,14.41,5.307,20.647,-0.001,-0.001,0.027,0.039,20.856,0.759,0.01
2023-04-27 13:34:15,2000-03-21,03:58:15,14.41,5.307,20.328,-0.001,-0.001,0.027,0.038,20.372,0.641,0.01
2023-04-27 13:44:15,2000-03-21,04:08:15,14.41,5.307,19.943,-0.001,-0.001,0.027,0.037,20.163,0.455,0.01
2023-04-27 13:54:15,2000-03-21,04:18:15,14.41,5.307,20.592,-0.001,-0.001,0.027,0.035,20.801,0.761,0.01
2023-04-27 14:04:15,2000-03-21,04:28:15,14.41,5.246,18.546,-0.001,-0.001,0.027,0.038,19.14,0.177,0.01
2023-04-27 14:14:15,2000-03-21,04:38:15,14.41,5.307,20.856,-0.001,-0.001,0.026,0.033,20.966,0.598,0.01
2023-04-27 14:24:15,2000-03-21,04:48:15,14.41,5.307,20.647,-0.001,-0.001,0.028,0.035,20.757,0.636,0.01
2023-04-27 14:34:15,2000-03-21,04:58:15,14.41,5.307,20.702,-0.001,-0.001,0.027,0.033,20.801,0.583,0.01
2023-04-27 14:44:15,2000-03-21,05:08:15,14.41,5.307,20.537,-0.001,-0.001,0.028,0.034,20.702,0.543,0.01
2023-04-27 14:54:15,2000-03-21,05:18:15,14.41,5.307,19.998,-0.001,-0.001,0.027,0.034,20.163,0.379,0.01
2023-04-27 15:04:15,2000-03-21,05:28:15,14.41,5.307,20.537,-0.001,-0.001,0.028,0.033,20.702,0.432,0.01
2023-04-27 15:14:15,2000-03-21,05:38:15,14.41,5.307,20.427,-0.001,-0.001,0.027,0.033,20.537,0.382,0.01
2023-04-27 15:24:15,2000-03-21,05:48:15,14.41,5.307,20.328,-0.001,-0.001,0.028,0.034,20.482,0.334,0.01
2023-04-27 15:34:15,2000-03-21,05:58:15,14.41,5.307,20.273,-0.001,-0.001,0.027,0.034,20.427,0.287,0.01
2023-04-27 15:44:15,2000-03-21,06:08:15,14.41,5.307,20.163,-0.001,-0.001,0.027,0.033,20.372,0.245,0.01
