01/05/15    03:13:11,3 days 03:20:00,19.1V,5.2V,13.8V,13.7V,0.0A,0.0A,0.0A,-0.2A,,78.8F,,,,,,,
01/05/15    03:08:11,3 days 03:14:59,15.9V,5.2V,13.6V,13.5V,0.0A,0.0A,0.0A,-0.2A,,78.6F,,,,,,,
01/05/15    03:03:12,3 days 03:10:00,15.8V,5.2V,13.6V,13.5V,0.0A,0.0A,0.0A,-0.2A,,78.6F,,,,,,,
01/05/15    02:58:12,3 days 03:05:00,15.6V,5.2V,13.5V,13.4V,0.0A,0.0A,0.0A,-0.2A,,78.4F,,,,,,,
01/05/15    02:53:13,3 days 03:00:00,15.3V,5.2V,13.4V,13.4V,0.0A,0.0A,0.0A,-0.2A,,78.3F,,,,,,,
01/05/15    02:48:13,3 days 02:55:00,18.2V,5.2V,13.3V,13.3V,0.0A,0.0A,0.0A,-0.2A,,78.1F,,,,,,,
01/05/15    02:43:13,3 days 02:49:59,15.3V,5.2V,13.4V,13.4V,0.0A,0.0A,0.0A,-0.2A,,77.9F,,,,,,,
01/05/15    02:38:14,3 days 02:45:00,15.3V,5.2V,13.4V,13.4V,0.0A,0.0A,0.0A,-0.2A,,77.5F,,,,,,,
01/05/15    02:33:14,3 days 02:40:00,16.1V,5.2V,13.6V,13.5V,0.0A,0.0A,0.0A,-0.2A,,77.4F,,,,,,,
01/05/15    02:28:14,3 days 02:34:59,15.7V,5.2V,13.4V,13.4V,0.0A,0.0A,0.0A,-0.2A,,77.2F,,,,,,,
01/05/15    02:23:15,3 days 02:30:00,17.9V,5.2V,13.4V,13.3V,0.0A,0.0A,0.0A,-0.2A,,77.2F,,,,,,,
01/05/15    02:18:15,3 days 02:24:59,15.8V,5.2V,13.3V,13.3V,0.0A,0.0A,0.0A,-0.2A,,77.0F,,,,,,,
01/05/15    02:13:16,3 days 02:20:00,15.7V,5.2V,13.3V,13.3V,0.0A,0.0A,0.0A,-0.2A,,77.0F,,,,,,,
01/05/15    02:08:16,3 days 02:14:59,15.5V,5.2V,13.2V,13.2V,0.0A,0.0A,0.0A,-0.2A,,77.0F,,,,,,,
01/05/15    02:03:17,3 days 02:10:00,15.3V,5.2V,13.2V,13.2V,0.0A,0.0A,0.0A,-0.2A,,77.0F,,,,,,,
01/05/15    01:58:17,3 days 02:05:00,15.0V,5.2V,13.2V,13.1V,0.0A,0.0A,0.0A,-0.2A,,76.8F,,,,,,,
01/05/15    01:53:18,3 days 02:00:00,15.0V,5.2V,13.1V,13.1V,0.0A,0.0A,0.0A,-0.2A,,76.8F,,,,,,,
01/05/15    01:48:18,3 days 01:55:00,15.2V,5.2V,13.2V,13.2V,0.0A,0.0A,0.0A,-0.2A,,76.8F,,,,,,,
01/05/15    01:43:18,3 days 01:49:59,15.5V,5.2V,13.3V,13.2V,0.0A,0.0A,0.0A,-0.2A,,76.6F,,,,,,,
01/05/15    01:38:19,3 days 01:45:00,15.2V,5.2V,13.2V,13.2V,0.0A,0.0A,0.0A,-0.2A,,76.5F,,,,,,,
01/05/15    01:33:19,3 days 01:40:00,15.2V,5.2V,13.2V,13.2V,0.0A,0.0A,0.0A,-0.2A,,76.3F,,,,,,,
01/05/15    01:28:20,3 days 01:35:00,15.3V,5.2V,13.2V,13.2V,0.0A,0.0A,0.0A,-0.2A,,76.3F,,,,,,,
01/05/15    01:23:20,3 days 01:30:00,15.5V,5.2V,13.2V,13.2V,0.0A,0.0A,0.0A,-0.2A,,76.1F,,,,,,,
01/05/15    01:18:21,3 days 01:25:00,15.3V,5.2V,13.2V,13.2V,0.0A,0.0A,0.0A,-0.2A,,75.9F,,,,,,,
01/05/15    01:13:21,3 days 01:20:00,15.3V,5.2V,13.2V,13.2V,0.0A,0.0A,0.0A,-0.2A,,75.7F,,,,,,,
01/05/15    01:08:21,3 days 01:15:00,15.4V,5.2V,13.2V,13.1V,0.0A,0.0A,0.0A,-0.2A,,75.6F,,,,,,,
01/05/15    01:03:21,3 days 01:09:59,15.4V,5.2V,13.2V,13.1V,0.0A,0.0A,0.0A,-0.2A,,75.6F,,,,,,,
01/05/15    00:58:22,3 days 01:05:00,15.5V,5.2V,13.2V,13.1V,0.0A,0.0A,0.0A,-0.2A,,75.4F,,,,,,,
01/05/15    00:53:22,3 days 01:00:00,15.3V,5.2V,13.1V,13.1V,0.0A,0.0A,0.0A,-0.2A,,75.2F,,,,,,,
01/05/15    00:48:23,3 days 00:55:00,15.2V,5.2V,13.1V,13.0V,0.0A,0.0A,0.0A,-0.2A,,75.0F,,,,,,,
01/05/15    00:43:23,3 days 00:50:00,15.2V,5.2V,13.1V,13.0V,0.0A,0.0A,0.0A,-0.2A,,74.8F,,,,,,,
01/05/15    00:38:23,3 days 00:45:00,15.5V,5.2V,13.1V,13.1V,0.0A,0.0A,0.0A,-0.2A,,74.7F,,,,,,,
