Time ID V1 V2 V3 I1 I2 I3 I4 O1 O2
2024-01-10 00:09:40 21 13013 5063 55 106 231 35 0 0 0
2024-01-10 00:19:40 21 12903 4880 0 226 399 35 0 0 0
2024-01-10 00:29:40 21 12903 4880 0 225 384 36 0 0 0
2024-01-10 00:39:40 21 12903 4880 0 225 340 35 0 0 0
2024-01-10 00:49:40 21 12903 4880 0 225 341 35 0 0 0
2024-01-10 00:59:40 21 12848 4819 0 226 600 35 0 0 0
2024-01-10 01:09:40 21 12848 4819 0 226 646 35 0 0 0
2024-01-10 01:19:40 21 12848 4819 0 226 620 35 0 0 0
2024-01-10 01:29:40 21 12848 4819 0 226 575 35 0 0 0
2024-01-10 01:39:40 21 12958 4880 0 224 93 34 0 0 0
2024-01-10 01:49:40 21 12958 4880 0 225 244 35 0 0 0
2024-01-10 01:59:40 21 12958 4880 0 225 213 35 0 0 0
2024-01-10 02:09:40 21 12958 4880 0 224 185 35 0 0 0
2024-01-10 02:19:40 21 12958 4880 0 224 159 35 0 0 0
2024-01-10 02:29:40 21 12958 4880 0 224 129 35 0 0 0
2024-01-10 02:39:40 21 12958 4880 0 224 152 35 1 0 1
2024-01-10 02:49:40 21 12903 4880 0 225 206 35 0 0 1
2024-01-10 02:59:40 21 12903 4880 0 224 197 34 2 0 3
2024-01-10 03:09:40 21 12903 4880 0 225 199 35 1 0 0
2024-01-10 03:19:40 21 12903 4880 0 225 202 35 0 0 0
2024-01-10 03:29:40 21 12903 4880 0 225 203 35 0 0 0
2024-01-10 03:39:40 21 12903 4880 0 225 204 35 0 0 0
2024-01-10 03:49:40 21 12903 4880 0 214 203 34 1 0 1
2024-01-10 03:59:40 21 13068 4880 0 -3 197 34 2 0 2
2024-01-10 04:09:40 21 13068 4880 0 -2 203 34 0 0 1
2024-01-10 04:19:40 21 13068 4880 0 -2 206 34 0 0 0
2024-01-10 04:29:40 21 13068 4880 0 -2 205 34 1 0 1
2024-01-10 04:39:40 21 13068 4880 0 -2 205 34 0 0 1
2024-01-10 04:49:40 21 13068 4880 0 -2 205 33 0 0 1
2024-01-10 04:59:40 21 13068 4880 0 -2 207 34 0 0 1
2024-01-10 05:09:40 21 13068 4880 0 -2 206 34 0 0 0
2024-01-10 05:19:40 21 13068 4880 0 -2 205 34 0 0 1
2024-01-10 05:29:40 21 13068 4880 0 -2 206 33 0 0 0
2024-01-10 05:39:40 21 13068 4880 0 -2 206 34 0 0 0
2024-01-10 05:49:40 21 13013 4880 0 -2 205 34 0 0 1
2024-01-10 05:59:40 21 13013 4880 0 -2 205 33 0 0 0
2024-01-10 06:09:40 21 13013 4880 0 -2 204 34 0 0 0
2024-01-10 06:19:40 21 13013 4880 0 -2 204 33 0 0 0
2024-01-10 06:29:40 21 13013 4880 0 -2 204 34 0 0 0
2024-01-10 06:39:40 21 13013 4880 0 -2 204 33 0 0 1
2024-01-10 06:49:40 21 13013 4880 0 -2 202 33 1 0 1
2024-01-10 06:59:40 21 13013 4880 0 -2 202 33 0 0 0
2024-01-10 07:09:40 21 13013 4880 0 -2 203 34 1 0 1
2024-01-10 07:19:40 21 13013 4880 0 -2 204 34 0 0 0
2024-01-10 07:29:40 21 13013 4880 0 -2 205 35 0 0 0
2024-01-10 07:39:40 21 12958 4880 0 -2 205 33 0 0 0
2024-01-10 07:49:40 21 12958 4880 0 -2 205 33 0 0 0
2024-01-10 07:59:40 21 12958 4880 0 -2 205 34 0 0 0
2024-01-10 08:09:40 21 12958 4880 0 -2 206 35 0 0 0
2024-01-10 08:19:40 21 12958 4880 0 -2 205 34 0 0 0
2024-01-10 08:29:40 21 12958 4880 0 -2 206 34 0 0 1
2024-01-10 08:39:40 21 12958 4880 0 -2 180 33 0 0 0
2024-01-10 08:49:40 21 12958 4880 0 -3 150 34 0 0 0
2024-01-10 08:59:40 21 12958 4880 0 -2 151 33 0 0 1
2024-01-10 09:09:40 21 12958 4880 0 -2 153 34 0 0 0
2024-01-10 09:19:40 21 13013 5063 0 -2 63 35 0 0 0
2024-01-10 09:29:40 21 13013 5246 0 -2 -2 34 0 0 1
2024-01-10 09:39:40 21 13013 5246 0 -2 -1 34 0 0 0
2024-01-10 09:49:40 21 13013 5246 165 -2 -1 34 0 110 0
2024-01-10 09:59:40 21 13013 5246 1826 -2 -1 34 1 1452 2
2024-01-10 10:09:40 21 13013 5246 10054 -2 -1 34 3 9680 3
2024-01-10 10:19:40 21 13013 5185 13332 -2 -1 35 4 14839 7
2024-01-10 10:29:40 21 13013 5185 15697 -2 -2 36 7 17094 14
2024-01-10 10:39:40 21 13068 5185 13651 -2 -1 35 24 18436 27
2024-01-10 10:49:40 21 13068 5185 13761 -2 -2 36 32 18920 35
2024-01-10 10:59:40 21 13068 5185 13926 -2 -1 35 40 19195 43
2024-01-10 11:09:40 21 13068 5185 14245 -3 -2 35 44 19305 49
2024-01-10 11:19:40 21 13123 5185 13981 -2 -2 35 52 19404 56
2024-01-10 11:29:40 21 13123 5185 14135 -2 -1 35 58 19514 61
2024-01-10 11:39:40 21 13123 5185 14190 -2 -2 35 60 19514 64
2024-01-10 11:49:40 21 13123 5185 14135 -2 -1 35 62 19514 66
2024-01-10 11:59:40 21 13123 5185 14135 -3 -1 35 61 19459 65
2024-01-10 12:09:40 21 13123 5185 14135 -2 -1 36 67 19569 71
2024-01-10 12:19:40 21 13123 5185 14355 -2 -1 36 77 19789 83
2024-01-10 12:29:40 21 13167 5185 14619 -2 -2 35 97 19998 105
2024-01-10 12:39:40 21 13222 5185 14949 -2 -1 35 133 20273 146
2024-01-10 12:49:40 21 13277 5185 15158 -2 -1 34 177 20482 195
2024-01-10 12:59:40 21 13277 5185 15323 -2 -2 35 211 20537 236
2024-01-10 13:09:40 21 13387 5185 15378 -2 -1 37 259 20702 288
2024-01-10 13:19:40 21 13442 5246 15587 -2 -2 35 301 20702 338
2024-01-10 13:29:40 21 13497 5246 15488 -2 -1 35 363 20757 396
2024-01-10 13:39:40 21 13442 5246 16610 -2 -2 35 317 20757 444
2024-01-10 13:49:40 21 13552 5246 16071 -3 -1 35 403 20702 500
2024-01-10 13:59:40 21 13607 5246 15587 -3 -1 35 485 20702 547
2024-01-10 14:09:40 21 13607 5246 15642 -3 -1 36 516 20757 582
2024-01-10 14:19:40 21 13607 5246 15587 -2 -1 35 547 20702 619
2024-01-10 14:29:40 21 13651 5246 15752 -2 -1 35 590 20801 676
2024-01-10 14:39:40 21 13651 5246 16291 -2 -1 36 571 20757 715
2024-01-10 14:49:40 21 13706 5246 15752 -2 -1 36 688 20801 760
2024-01-10 14:59:40 21 13706 5246 15862 -2 -2 36 697 20702 795
2024-01-10 15:09:40 21 13761 5246 15917 -2 -2 36 726 20647 844
2024-01-10 15:19:40 21 13761 5002 15642 -2 43 35 774 20592 875
2024-01-10 15:29:40 21 13761 4880 15587 -2 78 35 810 20647 900
2024-01-10 15:39:40 21 13761 4880 15807 -3 78 35 810 20592 929
2024-01-10 15:49:40 21 13816 4941 15488 -3 78 35 862 20537 950
2024-01-10 15:59:40 21 13816 4880 15642 -3 108 35 865 20537 983
2024-01-10 16:09:40 21 13871 4880 15543 -2 223 35 933 20592 1029
2024-01-10 16:19:40 21 13926 4880 15378 -3 315 35 977 20482 1053
2024-01-10 16:29:40 21 13981 4880 16456 -3 310 35 908 20427 1069
2024-01-10 16:39:40 21 13981 4880 18337 -3 307 37 702 20427 1089
2024-01-10 16:49:40 21 14091 4880 18766 -3 307 37 598 20328 1148
