date,time,ID,V_bat,V_usb,V_pv,I_led,I_usb,I_dl,I_pv,O1,O2
2023-04-25,19:12:57,21,0,0,0,0,0,0,0,0,0
2023-04-25,19:29:35,21,13442,5246,14674,-2,-1,31,354,19459,430
2023-04-25,19:39:35,21,13552,5246,14894,-2,-1,33,325,19459,407
2023-04-25,19:49:35,21,13552,5246,14729,-2,-1,34,319,19514,384
2023-04-25,19:59:35,21,13607,5246,14729,-2,-1,33,300,19459,360
2023-04-25,20:09:35,21,13651,5246,14784,-2,-1,33,277,19459,332
2023-04-26,21:02:29,21,0,0,0,0,0,0,0,0,0
2023-04-26,21:19:07,21,13068,4880,14300,223,235,31,49,19943,51
2023-04-26,21:29:07,21,13123,5063,14036,66,87,33,41,18711,43
2023-04-26,21:39:07,21,13167,5185,15213,17,-1,33,26,18392,38
2023-04-26,21:49:07,21,13167,5185,13871,5,-1,33,30,18172,33
2023-04-26,21:59:07,21,13167,5185,13816,-2,-1,34,25,18007,28
2023-04-26,22:09:07,21,13167,5185,13761,-2,-1,33,20,17633,22
2023-04-26,22:19:07,21,13167,5185,13651,-2,-1,34,13,16940,16
2023-04-26,22:29:07,21,13013,5185,13387,209,-2,33,6,15323,9
2023-04-26,22:39:07,21,13068,5246,12199,100,-2,33,3,11990,4
2023-04-26,22:49:07,21,13167,5246,4785,-2,-1,33,2,3652,2
2023-04-26,22:59:07,21,13068,5063,484,112,103,34,0,374,0
2023-04-26,23:09:07,21,12903,4819,55,226,427,33,0,0,0
2023-04-26,23:19:07,21,12903,4819,0,225,424,33,0,0,0
2023-04-26,23:29:07,21,12903,4819,0,225,419,33,0,0,0
2023-04-26,23:39:07,21,12848,4819,0,226,541,33,0,0,0
2023-04-26,23:49:07,21,12793,4758,0,226,867,34,0,0,0
2023-04-26,23:59:07,21,12903,4819,0,225,506,33,0,0,0
2023-04-27,00:09:07,21,12903,4819,0,225,412,33,0,0,0
2023-04-27,00:19:07,21,12958,5124,0,224,104,34,0,0,0
2023-04-27,00:29:07,21,13013,5185,0,224,-2,33,0,0,0
2023-04-27,00:39:07,21,12958,5063,0,224,120,33,0,0,0
2023-04-27,00:49:07,21,12903,4819,0,225,435,34,0,0,0
2023-04-27,00:59:07,21,12903,4819,0,225,432,34,0,0,0
2023-04-27,01:09:07,21,12903,4819,0,225,430,34,0,0,0
2023-04-27,01:19:07,21,12903,4819,0,225,429,34,0,0,0
2023-04-27,01:29:07,21,12958,4819,0,66,427,33,0,0,0
2023-04-27,01:39:07,21,13013,4819,0,-2,425,33,0,0,0
2023-04-27,01:49:07,21,13013,4819,0,-2,422,34,0,0,0
2023-04-27,01:59:07,21,13013,4819,0,-2,420,33,0,0,0
2023-04-27,02:09:07,21,13013,4819,0,-2,416,33,0,0,0
2023-04-27,02:19:07,21,13013,4819,0,-2,414,33,0,0,0
2023-04-27,02:29:07,21,13013,4880,0,-2,411,34,0,0,0
2023-04-27,02:39:07,21,13013,4819,0,-2,411,33,0,0,0
2023-04-27,02:49:07,21,13013,4819,0,-2,409,34,0,0,0
2023-04-27,02:59:07,21,13013,4819,0,-2,408,34,0,0,0
2023-04-27,03:09:07,21,13013,4819,0,-3,408,33,0,0,0
2023-04-27,03:19:07,21,13013,4819,0,-2,407,34,0,0,0
2023-04-27,03:29:07,21,13013,4819,0,-3,403,34,0,0,0
2023-04-27,03:39:07,21,13013,4819,0,-2,403,34,0,0,0
2023-04-27,03:49:07,21,13013,4819,0,-2,401,34,0,0,0
2023-04-27,03:59:07,21,13013,4819,0,-2,399,34,0,0,0
2023-04-27,04:09:07,21,13013,4819,0,-2,395,33,0,0,0
2023-04-27,04:19:07,21,13013,4819,0,-2,395,33,0,0,0
2023-04-27,04:29:07,21,13013,4819,0,-3,390,34,0,0,0
2023-04-27,04:39:07,21,12958,4819,0,-2,386,35,0,0,0
2023-04-27,04:49:07,21,12958,4819,0,-2,385,34,0,0,0
2023-04-27,04:59:07,21,12958,4819,0,-2,379,33,0,0,0
2023-04-27,05:09:07,21,12958,4819,0,-2,375,33,0,0,0
2023-04-27,05:19:07,21,12958,4819,0,-2,371,34,0,0,0
2023-04-27,05:29:07,21,12958,4819,0,-2,367,33,0,0,0
2023-04-27,05:39:07,21,12958,4819,0,-2,360,34,0,0,0
2023-04-27,05:49:07,21,12958,4819,0,-2,356,35,0,0,0
2023-04-27,05:59:07,21,12958,4819,0,-2,353,34,0,0,0
2023-04-27,06:09:07,21,12958,4880,0,-2,348,33,0,0,0
2023-04-27,06:19:07,21,12958,4819,0,-2,345,34,0,0,0
2023-04-27,06:29:07,21,12958,4880,0,-2,345,34,0,0,0
2023-04-27,06:39:07,21,12903,4819,0,-2,357,35,0,0,0
