Time ID V1 V2 V3 I1 I2 I3 I4 O1 O2
2000-04-02 00:04:07 44 14091 4758 20702 -1 115 26 101 20911 756
2000-04-02 00:14:07 44 14091 4758 20702 0 103 27 95 20966 709
2000-04-02 00:24:07 44 14091 4758 20757 -1 94 27 92 20966 656
2000-04-02 00:34:07 44 14135 4758 20801 -1 94 27 85 21076 599
2000-04-02 00:44:07 44 14091 4758 20757 0 109 27 89 21076 537
2000-04-02 00:54:07 44 14091 4758 20757 -1 108 27 93 21076 470
2000-04-02 01:04:07 44 14135 4758 20702 -1 105 27 88 21076 398
2000-04-02 01:14:07 44 14091 4758 19085 -1 98 27 77 20273 238
2000-04-02 01:24:07 44 13651 4758 14410 -1 102 28 31 18491 35
2000-04-02 01:34:07 44 13332 4758 13981 -1 92 27 22 18062 26
2000-04-02 01:44:07 44 13222 4758 13761 -1 110 27 13 16984 16
2000-04-02 01:54:07 44 13123 4758 13167 -1 105 27 5 14784 8
2000-04-02 02:04:07 44 13123 4758 11451 0 95 27 3 10857 4
2000-04-02 02:14:07 44 13123 4819 3553 51 81 26 0 2585 2
2000-04-02 02:24:07 44 12958 5185 429 394 0 26 0 319 0
2000-04-02 02:34:07 44 12958 5185 0 393 0 26 0 0 0
2000-04-02 02:44:07 44 12958 4941 0 393 76 25 0 0 0
2000-04-02 02:54:07 44 12903 4880 0 393 118 26 0 0 0
2000-04-02 03:04:07 44 12958 5063 0 393 43 27 0 0 0
2000-04-02 03:14:07 44 12903 4697 0 394 246 27 0 0 0
2000-04-02 03:24:07 44 12903 4758 0 393 46 26 0 0 0
2000-04-02 03:34:07 44 12903 4758 0 393 44 26 0 0 0
2000-04-02 03:44:07 44 12903 4758 0 393 46 26 0 0 0
2000-04-02 03:54:07 44 12903 4758 0 393 44 26 0 0 0
2000-04-02 04:04:07 44 12903 4941 0 393 26 26 0 0 0
2000-04-02 04:14:07 44 12958 5185 0 252 0 25 0 0 0
2000-04-02 04:24:07 44 13013 5185 0 164 0 26 0 0 0
2000-04-02 04:34:07 44 13013 5185 0 164 0 26 0 0 0
2000-04-02 04:44:07 44 13013 5185 0 164 0 27 0 0 0
2000-04-02 04:54:07 44 13013 5185 0 164 0 27 0 0 0
2000-04-02 05:04:07 44 13013 5185 0 164 0 26 0 0 0
2000-04-02 05:14:07 44 13013 5185 0 164 0 27 0 0 0
2000-04-02 05:24:07 44 13013 5185 0 164 0 27 0 0 0
2000-04-02 05:34:07 44 13013 5185 0 164 0 26 0 0 0
2000-04-02 05:44:07 44 13013 5185 0 164 0 26 0 0 0
2000-04-02 05:54:07 44 13013 5185 0 164 0 27 0 0 0
2000-04-02 06:04:07 44 13013 5185 0 164 0 26 0 0 0
2000-04-02 06:14:07 44 13013 5185 0 164 0 26 0 0 0
2000-04-02 06:24:07 44 13013 5185 0 164 0 26 0 0 0
2000-04-02 06:34:07 44 13013 5185 0 164 0 26 0 0 0
2000-04-02 06:44:07 44 13013 5185 0 164 0 26 0 0 0
2000-04-02 06:54:07 44 13013 5185 0 164 0 26 0 0 0
2000-04-02 07:04:07 44 13013 5185 0 164 0 26 0 0 0
2000-04-02 07:14:07 44 13013 5185 0 164 0 26 0 0 0
2000-04-02 07:24:07 44 13013 5185 0 164 0 26 0 0 0
2000-04-02 07:34:07 44 13013 5185 0 164 0 26 0 0 0
2000-04-02 07:44:07 44 13013 5185 0 164 0 27 0 0 0
2000-04-02 07:54:07 44 13013 5185 0 164 0 26 0 0 0
2000-04-02 08:04:07 44 13013 5185 0 164 0 27 0 0 0
2000-04-02 08:14:07 44 13013 5185 0 164 0 26 0 0 0
2000-04-02 08:24:07 44 13013 5185 0 164 0 26 0 0 0
2000-04-02 08:34:07 44 13013 5185 0 164 0 26 0 0 0
2000-04-02 08:44:07 44 13013 5185 0 164 0 26 0 0 0
2000-04-02 08:54:07 44 13013 5185 0 164 0 26 0 0 0
2000-04-02 09:04:07 44 12958 5185 0 164 0 26 0 0 0
2000-04-02 09:14:07 44 12958 5185 0 164 0 26 0 0 0
2000-04-02 09:24:07 44 12903 5185 0 247 0 26 0 0 0
2000-04-02 09:34:07 44 12958 5185 0 165 0 26 0 0 0
2000-04-02 09:44:07 44 12958 5185 0 165 0 26 0 0 0
2000-04-02 09:54:07 44 12958 5185 0 165 0 26 0 0 0
2000-04-02 10:04:07 44 12958 5185 0 165 0 26 0 0 0
2000-04-02 10:14:07 44 12958 5185 0 165 0 27 0 0 0
2000-04-02 10:24:07 44 12958 5185 0 165 0 26 0 0 0
2000-04-02 10:34:07 44 12903 5185 0 165 0 26 0 0 0
2000-04-02 10:44:07 44 12903 5185 0 232 0 26 0 0 0
2000-04-02 10:54:07 44 12903 5185 0 189 0 26 0 0 0
2000-04-02 11:04:07 44 12903 5185 0 165 0 26 0 0 0
2000-04-02 11:14:07 44 12903 5185 0 165 0 26 0 0 0
2000-04-02 11:24:07 44 12903 5185 0 165 0 26 0 0 0
2000-04-02 11:34:07 44 12903 5185 0 165 0 26 0 0 0
2000-04-02 11:44:07 44 12903 5185 0 165 0 26 0 0 0
