"Variable 1","Variable 2","Type","Method","Correlation","abs_corr"
"family_type","light_3_night","Categorical–Categorical","Cramér’s V","inf","inf"
"light_1_morning","light_3_night","Categorical–Categorical","Cramér’s V","inf","inf"
"cooking_fuel_biomass","quality","Categorical–Categorical","Cramér’s V","0.9901475429766743","0.9901475429766743"
"cooking_rustic","quality","Categorical–Categorical","Cramér’s V","0.9899494936611665","0.9899494936611665"
"cooking_improved","quality","Categorical–Categorical","Cramér’s V","0.9899494936611665","0.9899494936611665"
"phone_1_time","mant_capacity","Numerical–Categorical","Correlation ratio (η)","0.9612683236658233","0.9612683236658233"
"importance_night","importance_allday","Categorical–Categorical","Cramér’s V","0.9606953585900478","0.9606953585900478"
"fam_members","family_type","Numerical–Categorical","Correlation ratio (η)","0.9369172592160772","0.9369172592160772"
"cooking_metal","cooking_fuel_gas","Categorical–Categorical","Cramér’s V","0.9198164391900252","0.9198164391900252"
"newly_acq_flashlight","Light_2_night","Categorical–Categorical","Cramér’s V","0.8991721961325718","0.8991721961325718"
"newly_acq_flashlight","light_1_night","Categorical–Categorical","Cramér’s V","0.8897565210026092","0.8897565210026092"
"mat_wall","light_1_morning","Categorical–Categorical","Cramér’s V","0.8831760866327847","0.8831760866327847"
"desired_app_phone","light_1_morning","Categorical–Categorical","Cramér’s V","0.8831760866327845","0.8831760866327845"
"fam_head_gender","occupation","Categorical–Categorical","Cramér’s V","0.8790970390010622","0.8790970390010622"
"children_5_17","family_type","Numerical–Categorical","Correlation ratio (η)","0.8786618778562474","0.8786618778562474"
"sleep_time_after","radio_morning","Numerical–Categorical","Correlation ratio (η)","0.8733280604024671","0.8733280604024671"
"wakeup_time_after","light_1_morning","Numerical–Categorical","Correlation ratio (η)","0.8725331054460901","0.8725331054460901"
"radio_night","tech_problems_USB","Categorical–Categorical","Cramér’s V","0.8717797887081349","0.8717797887081349"
"newly_acq_flashlight","radio_night","Categorical–Categorical","Cramér’s V","0.8717797887081349","0.8717797887081349"
"cooking_male","cooking_female","Categorical–Categorical","Cramér’s V","0.8619328824023864","0.8619328824023864"
"desired_app_radio","radio_morning","Categorical–Categorical","Cramér’s V","0.8320502943378438","0.8320502943378438"
