"variable","description","type","mean","std","min","max","missing"
"fam_head_age","Age of the respondent","Numerical","48.88659793814433","15.221884115106961","19.0","97.0","3"
"children_0_5","Number of childre from 0 to 5 years","Numerical","0.46938775510204084","0.7208826438750411","0.0","2.0","2"
"children_5_17","Number of children from 5 to 17 years","Numerical","1.7142857142857142","1.5860214114335824","0.0","5.0","2"
"adults_18_59","Number of adults from 18 to 60 years","Numerical","2.0306122448979593","1.6463272565698488","0.0","9.0","2"
"adults_mas_60","Number of adults older that 60 years","Numerical","0.6122448979591837","0.7947333477625471","0.0","2.0","2"
"act_agriculture","Number of people that work in agriculture","Numerical","1.510204081632653","1.1948765019149594","0.0","7.0","2"
"act_dl_agri","Number of people that work in agriculture besides domestic labour","Numerical","1.0510204081632653","0.737402084775165","0.0","4.0","2"
"wo_activity","Number of people that does not work","Numerical","0.07142857142857142","0.3290097607676897","0.0","2.0","2"
"fam_members","Number of members of the family","Numerical","4.846938775510204","2.3390545310671365","1.0","12.0","2"
"monthly_income","Monthly family income ","Numerical","260.30927835051546","278.56946174550814","0.0","2100.0","3"
"monthly_exp_illum_before","monthly expediture in illumination sources before the shs","Numerical","68.35416666666667","53.83268018722782","0.0","232.0","4"
"sleep_time_before","Time the family normally slept before having SHS","Numerical","21.43877551020408","0.8131183012115771","19.0","23.0","2"
"monthly_fuel_exp","Monthly expenditure in fuels for cooking","Numerical","13.061224489795919","20.890394540366575","0.0","70.0","2"
"rooms","Number of rooms in the house","Numerical","3.2346938775510203","1.0133238194451528","1.0","6.0","2"
