"variable","description","type","mean","std","min","25%","50% (median)","75%","max","missing"
"fam_head_age","Age of the respondent","Numerical","48.372549019607845","14.826949496526554","19.0","38.5","50.0","56.5","87.0","2"
"children_0_5","Number of children from 0 to 5 years","Numerical","0.5","0.7001400420140049","0.0","0.0","0.0","1.0","2.0","1"
"children_5_17","Number of children from 5 to 17 years","Numerical","1.8461538461538463","1.5641149271326051","0.0","1.0","1.0","3.0","5.0","1"
"adults_18_59","Number of adults from 18 to 60 years","Numerical","1.9423076923076923","1.5769598641921745","0.0","1.0","2.0","3.0","8.0","1"
"adults_mas_60","Number of adults older that 60 years","Numerical","0.6346153846153846","0.8171890163151507","0.0","0.0","0.0","1.0","2.0","1"
"act_agriculture","Number of people that work in agriculture","Numerical","1.5384615384615385","1.162511454070301","0.0","1.0","1.0","2.0","7.0","1"
"act_dl_agri","Number of people that work in agriculture besides domestic labour","Numerical","0.9615384615384616","0.6250188534109633","0.0","1.0","1.0","1.0","3.0","1"
"wo_activity","Number of people that does not work","Numerical","0.057692307692307696","0.30764516984328466","0.0","0.0","0.0","0.0","2.0","1"
"fam_members","Number of members of the family","Numerical","4.9423076923076925","2.387988418686909","1.0","3.0","5.0","6.25","11.0","1"
"monthly_income","Monthly family income ","Numerical","234.31372549019608","201.61602021625947","0.0","100.0","200.0","300.0","1100.0","2"
"monthly_exp_illum_before","monthly expediture in illumination sources before the shs","Numerical","71.12","58.27753444002383","0.0","32.0","60.0","90.0","232.0","3"
"sleep_time_before","Time the family normally slept before having SHS","Numerical","21.365384615384617","0.8171890163151507","19.0","21.0","22.0","22.0","22.0","1"
"monthly_fuel_exp","Monthly expenditure in fuels for cooking","Numerical","16.057692307692307","23.3963408078611","0.0","0.0","0.0","35.0","70.0","1"
"sleep_time_after","Family usual sleep time after acquiring the shs","Numerical","21.50943396226415","1.9574575494899373","10.0","21.0","22.0","22.0","24.0","0"
"wakeup_time_after","Family usual wake up time after acquiring the shs","Numerical","4.69811320754717","0.9111469032188404","3.0","4.0","5.0","5.0","8.0","0"
"cooking_time_min_d","Minutes per day spent cooking in the home.","Numerical","63.679245283018865","29.25601423041454","30.0","60.0","60.0","60.0","180.0","0"
"rooms","Number of rooms in the house","Numerical","3.25","1.0266068228038674","1.0","3.0","3.0","4.0","6.0","1"
"light_bulbs","Number of light bulbs in the house","Numerical","1.9622641509433962","0.47887143573130503","0.0","2.0","2.0","2.0","4.0","0"
"radios","Number of radios in the house","Numerical","0.49056603773584906","0.5046949386828399","0.0","0.0","0.0","1.0","1.0","0"
"phones","Number of phone in the house","Numerical","1.2075471698113207","0.8848835335367748","0.0","1.0","1.0","2.0","3.0","0"
"other_app","Number of other type of appliances in the house","Numerical","0.5471698113207547","1.136222448017469","0.0","0.0","0.0","0.0","4.0","0"
"light_bulb_1_time","Average daily use of the bulb_1 in hours","Numerical","5.867924528301887","1.9418244380068552","0.0","4.0","6.0","7.0","10.0","0"
"light_bulb_2_time","Average daily use of the bulb_2 in hours","Numerical","5.377358490566038","2.355243047186586","0.0","4.0","5.0","7.0","10.0","0"
"phone_1_time","Average daily use of the phone_1 in hours","Numerical","0.5681818181818182","0.8910859054597884","0.0","0.0","0.25","0.75","4.0","20"
"phone_2_time","Average daily use of the phone_2 in hours","Numerical","0.18333333333333332","0.35913405954778604","0.0","0.0","0.0","0.0","1.0","8"
"phone_3_time","Average daily use of the phone_3 in hours","Numerical","0.014423076923076924","0.05885886947467735","0.0","0.0","0.0","0.0","0.25","1"
"radio_time","Average daily use of the radio in hours","Numerical","2.8541666666666665","3.2287905866565993","0.0","0.0","0.0","6.0","9.0","5"
