time,V1,V2,V3,I1,I2,I3,I4,O1,O2
00:01:07,13.167,5.246,0,-0.002,-0.001,0.034,0,0,0
00:11:07,13.167,5.246,0,-0.002,-0.001,0.035,0,0,0
00:21:07,13.167,5.246,0,-0.002,-0.002,0.034,0,0,0
00:31:07,13.167,5.246,0,-0.002,-0.001,0.034,0,0,0
00:41:07,13.167,5.246,0,-0.002,-0.002,0.033,0,0,0
00:51:07,13.167,5.246,0,-0.002,-0.001,0.034,0,0,0
01:01:07,13.167,5.246,0,-0.002,-0.002,0.034,0,0,0
01:11:07,13.167,5.246,0,-0.002,-0.002,0.034,0,0,0
01:21:07,13.167,5.246,0,-0.002,-0.001,0.035,0,0,0
01:31:07,13.167,5.246,0,-0.002,-0.001,0.034,0,0,0
01:41:07,13.167,5.246,0,-0.002,-0.001,0.034,0,0,0
01:51:07,13.167,5.246,0,-0.002,-0.001,0.035,0,0,0
02:01:07,13.167,5.246,0,-0.002,-0.001,0.035,0,0,0
02:11:07,13.167,5.246,0,-0.003,-0.001,0.034,0,0,0
02:21:07,13.167,5.246,0,-0.002,-0.001,0.034,0,0,0
02:31:07,13.167,5.246,0,-0.002,-0.002,0.034,0,0,0
02:41:07,13.167,5.246,0,-0.002,-0.001,0.033,0,0,0
02:51:07,13.167,5.246,0,-0.002,-0.002,0.035,0,0,0
03:01:07,13.167,5.246,0,-0.002,-0.001,0.034,0,0,0
03:11:07,13.167,5.246,0,-0.002,-0.001,0.034,0,0,0
03:21:07,13.167,5.246,0,-0.002,-0.002,0.034,0,0,0
03:31:07,13.167,5.246,0,-0.002,-0.001,0.033,0,0,0
03:41:07,13.167,5.246,0,-0.002,-0.001,0.033,0,0,0
03:51:07,13.123,5.246,0,-0.002,-0.001,0.034,0,0,0
04:01:07,13.123,5.246,0,-0.002,-0.002,0.034,0,0,0
04:11:07,13.123,5.246,0,-0.002,-0.001,0.033,0,0,0
04:21:07,13.123,5.185,0,-0.002,-0.002,0.033,0,0,0
04:31:07,13.123,5.185,0,-0.002,-0.001,0.034,0,0,0
04:41:07,13.123,5.185,0,-0.002,-0.001,0.033,0,0,0
04:51:07,13.123,5.185,0,-0.002,-0.002,0.034,0,0,0
05:01:07,13.123,5.185,0,-0.002,-0.002,0.034,0,0,0
05:11:07,13.123,5.185,0,-0.002,-0.001,0.033,0,0,0
05:21:07,13.123,5.185,0,-0.003,-0.002,0.034,0,0,0
05:31:07,13.123,5.185,0,-0.002,-0.002,0.034,0,0,0
05:41:07,13.123,5.185,0.319,-0.002,-0.001,0.034,0,0.264,0
05:51:07,13.123,5.185,3.223,-0.002,-0.002,0.033,0.001,2.739,0.002
06:01:07,13.123,5.185,11.561,-0.002,-0.002,0.035,0.003,11.396,0.004
06:11:07,13.123,5.185,13.706,-0.002,-0.002,0.034,0.005,15.488,0.008
06:21:07,13.123,5.185,14.465,-0.003,-0.001,0.035,0.01,17.204,0.014
06:31:07,13.167,5.185,13.706,-0.002,-0.001,0.034,0.017,18.062,0.02
06:41:07,13.167,5.185,13.871,-0.003,-0.002,0.034,0.033,19.085,0.036
06:51:07,13.167,5.185,14.3,-0.002,-0.002,0.035,0.052,19.734,0.056
07:01:07,13.167,5.185,14.52,-0.002,-0.002,0.035,0.053,19.998,0.059
07:11:07,13.222,5.185,14.894,-0.002,-0.002,0.035,0.08,20.328,0.096
07:21:07,13.277,5.185,15.103,-0.003,-0.001,0.035,0.133,20.592,0.15
07:31:07,13.332,5.185,15.268,-0.002,-0.001,0.034,0.188,20.757,0.216
07:41:07,13.387,5.185,15.488,-0.003,0.03,0.034,0.256,20.856,0.283
07:51:07,13.277,4.819,15.323,-0.002,0.617,0.034,0.313,20.856,0.335
08:01:07,13.277,4.819,15.323,-0.003,0.627,0.034,0.362,20.911,0.387
08:11:07,13.332,4.819,15.543,-0.003,0.625,0.034,0.405,20.856,0.442
08:21:07,13.387,4.819,15.268,-0.003,0.617,0.034,0.464,20.856,0.494
08:31:07,13.387,4.819,15.543,-0.003,0.563,0.034,0.501,20.911,0.546
08:41:07,13.552,5.002,15.642,-0.003,0.299,0.035,0.544,20.856,0.597
08:51:07,13.607,5.246,15.587,-0.003,-0.001,0.034,0.592,20.856,0.647
09:01:07,13.651,5.246,15.807,-0.002,-0.001,0.033,0.611,20.801,0.696
09:11:07,13.651,5.246,15.642,-0.002,-0.001,0.033,0.666,20.801,0.744
09:21:07,13.706,5.246,15.917,-0.003,-0.001,0.033,0.685,20.757,0.789
09:31:07,13.706,5.246,15.862,-0.003,-0.001,0.034,0.73,20.702,0.832
09:41:07,13.706,5.246,15.752,-0.003,-0.001,0.033,0.775,20.702,0.875
09:51:07,13.761,5.246,15.862,-0.002,-0.001,0.034,0.782,20.592,0.916
10:01:07,13.761,5.246,15.917,-0.002,-0.001,0.034,0.814,20.647,0.956
10:11:07,13.871,5.246,15.862,-0.002,-0.001,0.034,0.866,20.647,0.992
10:21:07,13.926,5.246,17.798,-0.002,-0.001,0.034,0.603,20.647,1.027
10:31:07,14.245,5.246,20.273,-0.002,-0.001,0.034,0.111,20.482,1.059
10:41:07,14.3,5.246,20.328,-0.002,-0.001,0.034,0.051,20.427,1.089
10:51:07,14.3,5.246,20.163,-0.002,-0.001,0.034,0.041,20.273,1.118
11:01:07,14.3,5.246,20.053,-0.002,-0.001,0.034,0.041,20.163,1.141
11:11:07,14.3,5.246,20.053,-0.003,-0.001,0.034,0.039,20.163,1.163
11:21:07,14.3,5.246,19.943,-0.002,-0.001,0.035,0.039,20.053,1.185
11:31:07,14.3,5.246,19.943,-0.002,-0.001,0.034,0.039,20.053,1.201
11:41:07,14.3,5.246,19.888,-0.002,-0.001,0.033,0.039,19.998,1.216
11:51:07,14.3,5.246,19.888,-0.002,-0.001,0.034,0.04,19.998,1.227
12:01:07,14.3,5.246,19.789,-0.002,-0.001,0.034,0.039,19.888,1.238
12:11:07,14.3,5.246,19.789,-0.002,-0.001,0.034,0.039,19.844,1.248
12:21:07,14.3,5.246,19.734,-0.002,-0.001,0.034,0.039,19.844,1.252
12:31:07,14.3,5.246,19.789,-0.002,-0.001,0.034,0.039,19.888,1.254
12:41:07,14.3,5.246,19.789,-0.002,-0.001,0.034,0.04,19.888,1.251
12:51:07,14.3,5.246,19.734,-0.002,-0.001,0.034,0.039,19.844,1.245
13:01:07,14.3,5.246,19.844,-0.002,-0.001,0.034,0.039,19.943,1.229
13:11:07,14.3,5.246,19.888,-0.002,-0.001,0.034,0.039,19.943,1.218
13:21:07,14.3,5.246,19.998,-0.002,-0.001,0.033,0.039,20.108,1.213
13:31:07,14.3,5.246,20.218,-0.002,-0.001,0.035,0.039,20.328,1.201
13:41:07,14.3,5.246,20.163,-0.002,-0.001,0.034,0.039,20.273,1.182
13:51:07,14.3,5.246,20.108,-0.002,-0.001,0.033,0.039,20.218,1.162
14:01:07,14.3,5.246,20.273,-0.002,-0.001,0.033,0.039,20.328,1.143
14:11:07,14.3,5.246,20.108,-0.002,-0.001,0.033,0.039,20.218,1.123
14:21:07,14.3,5.246,20.108,-0.002,-0.001,0.033,0.039,20.218,1.096
14:31:07,14.3,5.246,20.108,-0.002,-0.001,0.033,0.039,20.218,1.07
14:41:07,14.3,5.246,20.108,-0.002,-0.001,0.034,0.039,20.218,1.042
14:51:07,14.3,5.246,20.218,-0.002,-0.001,0.034,0.039,20.328,1.003
15:01:07,14.3,5.246,20.218,-0.002,-0.001,0.033,0.039,20.328,0.968
15:11:07,14.3,5.246,20.273,-0.002,-0.001,0.033,0.039,20.372,0.931
15:21:07,14.3,5.246,20.328,-0.002,-0.001,0.034,0.039,20.482,0.89
15:31:07,14.3,5.246,20.328,-0.002,-0.001,0.034,0.039,20.427,0.849
15:41:07,14.3,5.246,20.273,-0.002,-0.001,0.033,0.039,20.427,0.806
15:51:07,14.3,5.246,20.273,-0.002,-0.001,0.034,0.039,20.372,0.758
16:01:07,14.3,5.246,20.328,-0.002,-0.001,0.034,0.038,20.427,0.711
16:11:07,14.3,5.246,20.372,-0.002,-0.001,0.034,0.035,20.482,0.657
16:21:07,14.3,5.246,20.273,-0.002,-0.001,0.034,0.039,20.482,0.355
16:31:07,14.3,5.246,16.775,-0.002,-0.001,0.034,0.044,19.514,0.049
16:41:07,14.245,5.185,14.949,-0.002,-0.001,0.034,0.039,18.392,0.043
16:51:07,14.091,5.185,14.784,-0.002,-0.001,0.034,0.032,18.172,0.038
17:01:07,13.871,5.185,14.674,-0.002,-0.001,0.034,0.027,18.007,0.032
17:11:07,13.706,5.185,14.355,-0.002,-0.001,0.034,0.023,17.798,0.027
17:21:07,13.552,5.185,14.091,-0.002,-0.001,0.033,0.018,17.369,0.021
17:31:07,13.332,5.124,13.816,0.07,0.01,0.033,0.011,16.456,0.014
17:41:07,13.013,4.88,13.013,0.224,0.041,0.033,0.005,14.619,0.007
17:51:07,13.013,4.88,11.341,0.223,0.039,0.033,0.003,10.758,0.004
18:01:07,13.013,4.88,3.113,0.223,0.044,0.033,0.001,2.2,0.002
18:11:07,12.958,5.124,0.319,0.268,0.017,0.033,0,0.264,0
18:21:07,12.903,5.185,0.055,0.389,-0.002,0.033,0,0,0
18:31:07,12.903,5.063,0,0.39,0.132,0.033,0,0,0
18:41:07,12.848,4.819,0.11,0.391,0.341,0.033,0,0.055,0
18:51:07,12.848,4.819,0.11,0.391,0.337,0.033,0,0.055,0
19:01:07,12.848,5.002,0.11,0.39,0.159,0.033,0,0.055,0
19:11:07,12.903,5.185,0.055,0.389,-0.002,0.033,0,0.055,0
19:21:07,12.903,5.185,0.055,0.389,-0.002,0.034,0,0.055,0
19:31:07,12.903,5.185,0.055,0.39,-0.002,0.034,0,0.055,0
19:41:07,12.903,5.185,0.055,0.39,-0.002,0.034,0,0,0
19:51:07,12.903,5.185,0.055,0.39,-0.002,0.034,0,0,0
20:01:07,12.903,5.185,0.055,0.39,-0.002,0.034,0,0,0
20:11:07,12.958,5.185,0.055,0.34,-0.002,0.035,0,0,0
20:21:07,13.013,5.185,0,0.224,-0.002,0.033,0,0,0
20:31:07,13.013,5.185,0,0.224,-0.002,0.033,0,0,0
20:41:07,13.013,5.185,0,0.224,-0.002,0.033,0,0,0
20:51:07,13.013,5.185,0,0.224,-0.002,0.034,0,0,0
21:01:07,13.013,5.185,0,0.224,-0.002,0.034,0,0,0
21:11:07,13.013,5.185,0,0.224,-0.002,0.034,0,0,0
21:21:07,13.068,5.185,0,0.062,-0.001,0.034,0,0,0
21:31:07,13.167,5.246,0,-0.002,-0.002,0.034,0,0,0
21:41:07,13.167,5.246,0,-0.002,-0.001,0.034,0,0,0
21:51:07,13.167,5.246,0,-0.002,-0.002,0.034,0,0,0
22:01:07,13.167,5.246,0,-0.002,-0.002,0.033,0,0,0
22:11:07,13.167,5.246,0,-0.002,-0.001,0.033,0,0,0
22:21:07,13.167,5.246,0,-0.002,-0.001,0.033,0,0,0
22:31:07,13.167,5.246,0,-0.002,-0.002,0.033,0,0,0
22:41:07,13.167,5.246,0,-0.002,-0.001,0.034,0,0,0
22:51:07,13.167,5.246,0,-0.002,-0.002,0.033,0,0,0
23:01:07,13.167,5.246,0,-0.002,-0.001,0.034,0,0,0
23:11:07,13.167,5.246,0,-0.002,-0.002,0.034,0,0,0
23:21:07,13.167,5.246,0,-0.002,-0.001,0.034,0,0,0
23:31:07,13.167,5.246,0,-0.002,-0.001,0.033,0,0,0
23:41:07,13.167,5.246,0,-0.002,-0.001,0.033,0,0,0
23:51:07,13.167,5.246,0,-0.002,-0.001,0.033,0,0,0
00:01:07,13.167,5.246,0,-0.002,-0.002,0.034,0,0,0
00:11:07,13.167,5.246,0,-0.002,-0.001,0.035,0,0,0
00:21:07,13.167,5.246,0,-0.002,-0.002,0.035,0,0,0
00:31:07,13.167,5.246,0,-0.002,-0.002,0.034,0,0,0
00:41:07,13.167,5.246,0,-0.002,-0.001,0.033,0,0,0
00:51:07,13.167,5.246,0,-0.002,-0.002,0.034,0,0,0
01:01:07,13.167,5.246,0,-0.002,-0.002,0.034,0,0,0
01:11:07,13.167,5.246,0,-0.002,-0.002,0.033,0,0,0
01:21:07,13.167,5.246,0,-0.002,-0.001,0.033,0,0,0
01:31:07,13.167,5.246,0,-0.002,-0.001,0.033,0,0,0
01:41:07,13.167,5.246,0,-0.002,-0.001,0.034,0,0,0
01:51:07,13.167,5.246,0,-0.002,-0.002,0.034,0,0,0
02:01:07,13.167,5.246,0,-0.002,-0.001,0.033,0,0,0
02:11:07,13.167,5.246,0,-0.002,-0.001,0.034,0,0,0
02:21:07,13.167,5.246,0,-0.002,-0.002,0.034,0,0,0
02:31:07,13.123,5.246,0,-0.002,-0.002,0.034,0,0,0
02:41:07,13.123,5.246,0,-0.002,-0.001,0.034,0,0,0
02:51:07,13.123,5.246,0,-0.002,-0.001,0.034,0,0,0
03:01:07,13.123,5.246,0,-0.002,-0.001,0.034,0,0,0
03:11:07,13.123,5.246,0,-0.002,-0.002,0.034,0,0,0
03:21:07,13.123,5.246,0,-0.002,-0.001,0.033,0,0,0
03:31:07,13.123,5.246,0,-0.002,-0.002,0.035,0,0,0
03:41:07,13.123,5.185,0,0.034,-0.002,0.034,0,0,0
03:51:07,13.013,5.185,0,0.164,-0.002,0.034,0,0,0
04:01:07,12.958,5.185,0,0.164,-0.002,0.034,0,0,0
04:11:07,12.958,5.185,0,0.164,-0.002,0.034,0,0,0
04:21:07,12.958,5.185,0,0.164,-0.002,0.035,0,0,0
04:31:07,12.848,5.124,0,0.307,0.048,0.033,0,0,0
04:41:07,12.738,4.88,0,0.353,0.266,0.033,0,0,0
04:51:07,12.793,4.88,0,0.242,0.265,0.034,0,0,0
05:01:07,12.683,4.88,0.055,0.398,0.145,0.034,0,0,0.001
05:11:07,12.683,5.002,0,0.397,0.22,0.034,0,0,0
05:21:07,12.639,4.819,0.11,0.399,0.425,0.034,0,0,0
05:31:07,12.639,4.819,0.11,0.399,0.411,0.034,0,0.11,0
05:41:07,12.639,4.819,0.319,0.399,0.408,0.034,0,0.319,0
05:51:07,12.683,4.819,2.904,0.295,0.406,0.034,0.001,2.53,0.002
06:01:07,12.683,4.819,11.022,0.229,0.527,0.034,0.003,10.802,0.004
