date,time,V1,V2,V3,I1,I2,I3,I4,O1,O2,Ppv,Pusb,Pjack,Pdl,Vbat,Vusb,Vpv,Ijack,Iusb,Idl,Ipv,VOC,ISC,Pcons
2023-05-01,00:00:00,13.167,5.246,0,-0.002,-0.001,0.034,0,0,0,0,-0.005246,-0.026334,0.447678,13.167,5.246,0,-0.002,-0.001,0.034,0,0,0,0.416098
2023-05-01,00:10:00,13.167,5.246,0,-0.002,-0.001,0.035,0,0,0,0,-0.005246,-0.026334,0.460845,13.167,5.246,0,-0.002,-0.001,0.035,0,0,0,0.429265
2023-05-01,00:20:00,13.167,5.246,0,-0.002,-0.002,0.034,0,0,0,0,-0.010492,-0.026334,0.447678,13.167,5.246,0,-0.002,-0.002,0.034,0,0,0,0.410852
2023-05-01,00:30:00,13.167,5.246,0,-0.002,-0.001,0.034,0,0,0,0,-0.005246,-0.026334,0.447678,13.167,5.246,0,-0.002,-0.001,0.034,0,0,0,0.416098
2023-05-01,00:40:00,13.167,5.246,0,-0.002,-0.002,0.033,0,0,0,0,-0.010492,-0.026334,0.434511,13.167,5.246,0,-0.002,-0.002,0.033,0,0,0,0.397685
2023-05-01,00:50:00,13.167,5.246,0,-0.002,-0.001,0.034,0,0,0,0,-0.005246,-0.026334,0.447678,13.167,5.246,0,-0.002,-0.001,0.034,0,0,0,0.416098
2023-05-01,01:00:00,13.167,5.246,0,-0.002,-0.002,0.034,0,0,0,0,-0.010492,-0.026334,0.447678,13.167,5.246,0,-0.002,-0.002,0.034,0,0,0,0.410852
2023-05-01,01:10:00,13.167,5.246,0,-0.002,-0.002,0.034,0,0,0,0,-0.010492,-0.026334,0.447678,13.167,5.246,0,-0.002,-0.002,0.034,0,0,0,0.410852
2023-05-01,01:20:00,13.167,5.246,0,-0.002,-0.001,0.035,0,0,0,0,-0.005246,-0.026334,0.460845,13.167,5.246,0,-0.002,-0.001,0.035,0,0,0,0.429265
2023-05-01,01:30:00,13.167,5.246,0,-0.002,-0.001,0.034,0,0,0,0,-0.005246,-0.026334,0.447678,13.167,5.246,0,-0.002,-0.001,0.034,0,0,0,0.416098
