date,time,V1,V2,V3,I1,I2,I3,I4,O1,O2
05/01/2023,00:06:44,13.222,5.307,0,0,0,0.027,0,0,0
05/01/2023,00:16:44,13.222,5.307,0,0,0,0.027,0,0,0
05/01/2023,00:26:44,13.222,5.307,0,0,0,0.028,0,0,0
05/01/2023,00:36:44,13.222,5.307,0,0,0,0.027,0,0,0
05/01/2023,00:46:44,13.222,5.307,0,0,0,0.027,0,0,0
05/01/2023,00:56:44,13.222,5.307,0,0,0,0.026,0,0,0
05/01/2023,01:06:44,13.222,5.307,0,0,0,0.027,0,0,0
05/01/2023,01:16:44,13.222,5.307,0,0,0,0.027,0,0,0
05/01/2023,01:26:44,13.222,5.307,0,0,0,0.027,0,0,0
05/01/2023,01:36:44,13.222,5.307,0,0,0,0.028,0,0,0
05/01/2023,01:46:44,13.222,5.307,0,0,0,0.027,0,0,0
05/01/2023,01:56:44,13.222,5.307,0,0,0,0.027,0,0,0
05/01/2023,02:06:44,13.222,5.307,0,0,0,0.027,0,0,0
05/01/2023,02:16:44,13.222,5.307,0,0,0,0.027,0,0,0
05/01/2023,02:26:44,13.222,5.307,0,0,0,0.026,0,0,0
05/01/2023,02:36:44,13.222,5.307,0,0,0,0.027,0,0,0
05/01/2023,02:46:44,13.222,5.307,0,0,0,0.028,0,0,0
05/01/2023,02:56:44,13.222,5.307,0,0,0,0.029,0,0,0
05/01/2023,03:06:44,13.222,5.307,0,0,0,0.028,0,0,0
05/01/2023,03:16:44,13.222,5.307,0,0,0,0.027,0,0,0
05/01/2023,03:26:44,13.222,5.307,0,0,0,0.028,0,0,0
05/01/2023,03:36:44,13.222,5.307,0,0,0,0.026,0,0,0
05/01/2023,03:46:44,13.222,5.307,0,0,0,0.027,0,0,0
05/01/2023,03:56:44,13.222,5.307,0,0,0,0.028,0,0,0
05/01/2023,04:06:44,13.167,5.307,0,0,0,0.027,0,0,0
05/01/2023,04:16:44,13.167,5.307,0,0,0,0.028,0,0,0
05/01/2023,04:26:44,13.167,5.307,0,0,0,0.027,0,0,0
05/01/2023,04:36:44,13.167,5.307,0,0,0,0.028,0,0,0
05/01/2023,04:46:44,13.167,5.307,0,0,0,0.028,0,0,0
05/01/2023,04:56:44,13.167,5.307,0,0,0,0.028,0,0,0
05/01/2023,05:06:44,13.167,5.307,0,0,0,0.027,0,0,0
05/01/2023,05:16:44,13.167,5.307,0,0,0,0.028,0,0,0
05/01/2023,05:26:44,13.167,5.307,0,0,0,0.028,0,0,0
05/01/2023,05:36:44,13.167,5.307,0,0,0,0.029,0,0,0
05/01/2023,05:46:44,13.167,5.307,0,0,0,0.028,0,0,0
05/01/2023,05:56:44,13.167,5.307,0,0,0,0.028,0,0,0
05/01/2023,06:06:44,13.167,5.307,0,0,0,0.028,0,0,0
05/01/2023,06:16:44,13.167,5.307,0,0,0,0.027,0,0,0
05/01/2023,06:26:44,13.167,5.307,0,0,0,0.027,0,0,0
05/01/2023,06:36:44,13.167,5.307,0,0,0,0.028,0,0,0
05/01/2023,06:46:44,13.167,5.307,0,0,0,0.027,0,0,0
05/01/2023,06:56:44,13.167,5.307,0,0,0,0.028,0,0,0
05/01/2023,07:06:44,13.167,5.307,0,0,0,0.028,0,0,0
05/01/2023,07:16:44,13.167,5.307,0,0,0,0.028,0,0,0
05/01/2023,07:26:44,13.167,5.307,0,0,0,0.028,0,0,0
05/01/2023,07:36:44,13.167,5.307,0,0,0,0.027,0,0,0
05/01/2023,07:46:44,13.167,5.307,0,0,0,0.027,0,0,0
05/01/2023,07:56:44,13.167,5.307,0,0,0,0.028,0,0,0
05/01/2023,08:06:44,13.167,5.307,0,0,0,0.028,0,0,0
05/01/2023,08:16:44,13.167,5.307,0,0,0,0.028,0,0,0
05/01/2023,08:26:44,13.167,5.307,0,0,0,0.028,0,0,0
05/01/2023,08:36:44,13.167,5.307,0,0,0,0.027,0,0,0
05/01/2023,08:46:44,13.167,5.307,0,0,0,0.027,0,0,0
05/01/2023,08:56:44,13.167,5.307,0,0,0,0.026,0,0,0
05/01/2023,09:06:44,13.167,5.307,0,0,0,0.026,0,0,0
05/01/2023,09:16:44,13.167,5.307,0,0,0,0.026,0,0,0
05/01/2023,09:26:44,13.167,5.307,0,0,0,0.028,0,0,0
05/01/2023,09:36:44,13.167,5.307,0,0,0,0.026,0,0,0
05/01/2023,09:46:44,13.167,5.307,0,0,0,0.026,0,0,0
05/01/2023,09:56:44,13.167,5.307,0,0,0,0.026,0,0,0
05/01/2023,10:06:44,13.167,5.307,0,0,0,0.027,0,0,0
05/01/2023,10:16:44,13.167,5.307,0,0,0,0.026,0,0,0
05/01/2023,10:26:44,13.167,5.307,0,0,0,0.026,0,0,0
05/01/2023,10:36:44,13.167,5.307,0,0,0,0.026,0,0,0
05/01/2023,10:46:44,13.167,5.307,0,0,0,0.026,0,0,0
05/01/2023,10:56:44,13.167,5.307,0,0,0,0.026,0,0,0
05/01/2023,11:06:44,13.167,5.307,0,0,0,0.026,0,0,0
05/01/2023,11:16:44,13.167,5.307,0,0,0,0.026,0,0,0
05/01/2023,11:26:44,13.167,5.307,0,0,0,0.026,0,0,0
05/01/2023,11:36:44,13.167,5.307,0,0,0,0.026,0,0,0
05/01/2023,11:46:44,13.167,5.307,0,0,0,0.026,0,0,0
05/01/2023,11:56:44,13.167,5.307,0.429,0,0,0.026,0.017,0,0
05/01/2023,12:06:44,13.068,5.307,0,0.14,0,0.027,0,0,-0.001
05/01/2023,12:16:44,13.013,5.307,0,0.164,0,0.027,0,0,0
05/01/2023,12:26:44,13.607,5.307,11.99,0.039,0,0.027,0.705,16.291,0.885
05/01/2023,12:36:44,13.871,5.124,15.543,0,0.213,0.026,0.958,20.372,1.104
05/01/2023,12:46:44,13.926,5.307,15.862,0,0,0.026,0.898,20.372,1.101
05/01/2023,12:56:44,13.926,5.307,15.752,0,0,0.026,0.92,20.482,1.097
05/01/2023,13:06:44,13.926,5.307,15.807,0,0,0.03,0.928,20.647,1.086
05/01/2023,13:16:44,13.926,5.307,15.917,0,0,0.026,0.918,20.757,1.067
05/01/2023,13:26:44,13.871,5.307,15.972,0,0,0.026,0.906,20.757,1.051
05/01/2023,13:36:44,13.871,5.307,16.181,0,0.054,0.026,0.866,20.801,1.036
05/01/2023,13:46:44,13.816,4.941,15.752,0,0.532,0.026,0.932,20.856,1.024
05/01/2023,13:56:44,13.761,4.941,15.752,0,0.533,0.026,0.883,20.757,1.002
05/01/2023,14:06:44,13.761,4.941,15.642,0,0.533,0.026,0.881,20.801,0.977
05/01/2023,14:16:44,13.761,4.941,15.752,0,0.533,0.026,0.844,20.757,0.948
05/01/2023,14:26:44,13.761,4.941,15.587,0,0.533,0.026,0.854,20.801,0.922
05/01/2023,14:36:44,13.761,4.941,15.697,0,0.533,0.026,0.807,20.911,0.889
05/01/2023,14:46:44,13.761,4.941,15.862,0,0.533,0.027,0.761,20.966,0.858
05/01/2023,14:56:44,13.706,4.941,15.642,0,0.533,0.026,0.749,20.911,0.822
05/01/2023,15:06:44,13.706,4.941,15.752,0,0.533,0.026,0.708,20.911,0.785
05/01/2023,15:16:44,13.706,4.941,15.752,0,0.533,0.026,0.67,20.966,0.741
05/01/2023,15:26:44,13.706,4.941,15.752,0,0.533,0.026,0.626,20.966,0.693
