date,time,Ppv,Pusb,Pjack,Pdl,Vbat,SOC,Vusb,Vpv,Ijack,Iusb,Idl,Ipv,VOC,ISC,Pcons
2023-05-04,00:00:00,0,0,2.139049,0.341198,13.123,60,5.307,0,0.163,0,0.026,0,0,0,2.480247
2023-05-04,00:10:00,0,0,2.139049,0.341198,13.123,60,5.307,0,0.163,0,0.026,0,0,0,2.480247
2023-05-04,00:20:00,0,0,2.139049,0.354321,13.123,60,5.307,0,0.163,0,0.027,0,0,0,2.49337
2023-05-04,00:30:00,0,0,2.139049,0.354321,13.123,60,5.307,0,0.163,0,0.027,0,0,0,2.49337
2023-05-04,00:40:00,0,0,2.139049,0.354321,13.123,60,5.307,0,0.163,0,0.027,0,0,0,2.49337
2023-05-04,00:50:00,0,0,2.139049,0.341198,13.123,60,5.307,0,0.163,0,0.026,0,0,0,2.480247
2023-05-04,01:00:00,0,0,2.139049,0.341198,13.123,60,5.307,0,0.163,0,0.026,0,0,0,2.480247
2023-05-04,01:10:00,0,0,2.143152,0.352836,13.068,60,5.307,0,0.164,0,0.027,0,0,0,2.495988
2023-05-04,01:20:00,0,0,2.143152,0.339768,13.068,60,5.307,0,0.164,0,0.026,0,0,0,2.48292
2023-05-04,01:30:00,0,0,2.143152,0.339768,13.068,60,5.307,0,0.164,0,0.026,0,0,0,2.48292
2023-05-04,01:40:00,0,0,2.143152,0.378972,13.068,60,5.307,0,0.164,0,0.029,0,0,0,2.522124
2023-05-04,01:50:00,0,0,2.143152,0.352836,13.068,60,5.307,0,0.164,0,0.027,0,0,0,2.495988
2023-05-04,02:00:00,0,0,2.143152,0.378972,13.068,60,5.307,0,0.164,0,0.029,0,0,0,2.522124
2023-05-04,02:10:00,0,0,2.143152,0.339768,13.068,60,5.307,0,0.164,0,0.026,0,0,0,2.48292
2023-05-04,02:20:00,0,0,2.143152,0.339768,13.068,60,5.307,0,0.164,0,0.026,0,0,0,2.48292
