Time ID V1 V2 V3 I1 I2 I3 I4 O1 O2
2000-03-15 00:02:03 22 14300 0 20482 0 0 28 182 20911 976
2000-03-15 00:12:03 22 14300 0 20372 0 0 28 194 20856 963
2000-03-15 00:22:03 22 14300 0 20328 0 0 28 193 20801 944
2000-03-15 00:32:03 22 14300 0 20647 0 0 27 182 21131 918
2000-03-15 00:42:03 22 14300 0 20592 0 0 28 188 21131 894
2000-03-15 00:52:03 22 14300 0 20647 0 0 28 197 21131 867
2000-03-15 01:02:03 22 14300 0 20647 0 0 28 192 21186 832
2000-03-15 01:12:03 22 14300 0 20702 0 0 26 193 21186 799
2000-03-15 01:22:03 22 14300 0 20647 0 0 27 184 21186 760
2000-03-15 01:32:03 22 14300 0 20702 0 0 28 171 21186 724
2000-03-15 01:42:03 22 14300 0 20647 0 0 27 173 21186 687
2000-03-15 01:52:03 22 14410 0 21021 0 0 26 43 21186 649
2000-03-15 02:02:03 22 14355 0 20801 0 0 27 102 21186 602
2000-03-15 02:12:03 22 14300 0 20537 0 0 28 190 21241 509
2000-03-15 02:22:03 22 14300 0 19404 0 0 27 161 21131 353
2000-03-15 02:32:03 22 14245 0 18876 0 0 27 157 21186 380
2000-03-15 02:42:03 22 14135 0 17798 0 0 28 105 20273 177
2000-03-15 02:52:03 22 13497 0 14245 0 0 26 28 18172 33
2000-03-15 03:02:03 22 13332 0 14036 0 0 26 23 18007 27
2000-03-15 03:12:03 22 13332 0 13926 0 0 26 19 17688 22
2000-03-15 03:22:03 22 13277 0 13871 0 0 27 13 16885 16
2000-03-15 03:32:03 22 13277 0 13387 0 0 27 6 15103 9
2000-03-15 03:42:03 22 13277 0 12474 0 0 27 3 12309 5
2000-03-15 03:52:03 22 13277 0 5588 0 0 28 0 4521 2
2000-03-15 04:02:03 22 13277 0 704 0 0 28 0 484 0
2000-03-15 04:12:03 22 13222 0 110 55 0 27 0 55 0
2000-03-15 04:22:03 22 13123 0 0 164 0 26 0 0 0
2000-03-15 04:32:03 22 13167 0 0 164 0 27 0 0 0
2000-03-15 04:42:03 22 13068 0 0 307 0 28 0 0 0
2000-03-15 04:52:03 22 13123 0 0 226 0 27 0 0 0
2000-03-15 05:02:03 22 13123 0 0 225 0 26 0 0 0
2000-03-15 05:12:03 22 13123 0 0 225 0 26 0 0 0
