time,V1,V2,V3,I1,I2,I3,I4,O1,O2
00:06:44,13.222,5.307,0,0,0,0.027,0,0,0
00:16:44,13.222,5.307,0,0,0,0.027,0,0,0
00:26:44,13.222,5.307,0,0,0,0.028,0,0,0
00:36:44,13.222,5.307,0,0,0,0.027,0,0,0
00:46:44,13.222,5.307,0,0,0,0.027,0,0,0
00:56:44,13.222,5.307,0,0,0,0.026,0,0,0
01:06:44,13.222,5.307,0,0,0,0.027,0,0,0
01:16:44,13.222,5.307,0,0,0,0.027,0,0,0
01:26:44,13.222,5.307,0,0,0,0.027,0,0,0
01:36:44,13.222,5.307,0,0,0,0.028,0,0,0
01:46:44,13.222,5.307,0,0,0,0.027,0,0,0
01:56:44,13.222,5.307,0,0,0,0.027,0,0,0
02:06:44,13.222,5.307,0,0,0,0.027,0,0,0
02:16:44,13.222,5.307,0,0,0,0.027,0,0,0
02:26:44,13.222,5.307,0,0,0,0.026,0,0,0
02:36:44,13.222,5.307,0,0,0,0.027,0,0,0
02:46:44,13.222,5.307,0,0,0,0.028,0,0,0
02:56:44,13.222,5.307,0,0,0,0.029,0,0,0
03:06:44,13.222,5.307,0,0,0,0.028,0,0,0
03:16:44,13.222,5.307,0,0,0,0.027,0,0,0
03:26:44,13.222,5.307,0,0,0,0.028,0,0,0
03:36:44,13.222,5.307,0,0,0,0.026,0,0,0
03:46:44,13.222,5.307,0,0,0,0.027,0,0,0
03:56:44,13.222,5.307,0,0,0,0.028,0,0,0
04:06:44,13.167,5.307,0,0,0,0.027,0,0,0
04:16:44,13.167,5.307,0,0,0,0.028,0,0,0
04:26:44,13.167,5.307,0,0,0,0.027,0,0,0
04:36:44,13.167,5.307,0,0,0,0.028,0,0,0
04:46:44,13.167,5.307,0,0,0,0.028,0,0,0
04:56:44,13.167,5.307,0,0,0,0.028,0,0,0
05:06:44,13.167,5.307,0,0,0,0.027,0,0,0
05:16:44,13.167,5.307,0,0,0,0.028,0,0,0
05:26:44,13.167,5.307,0,0,0,0.028,0,0,0
05:36:44,13.167,5.307,0,0,0,0.029,0,0,0
05:46:44,13.167,5.307,0,0,0,0.028,0,0,0
05:56:44,13.167,5.307,0,0,0,0.028,0,0,0
06:06:44,13.167,5.307,0,0,0,0.028,0,0,0
06:16:44,13.167,5.307,0,0,0,0.027,0,0,0
06:26:44,13.167,5.307,0,0,0,0.027,0,0,0
06:36:44,13.167,5.307,0,0,0,0.028,0,0,0
06:46:44,13.167,5.307,0,0,0,0.027,0,0,0
06:56:44,13.167,5.307,0,0,0,0.028,0,0,0
