,P_pv,Pcons
07/21/2023 00:01:35,0,0
07/21/2023 00:03:37,0,0
07/21/2023 00:05:39,0,0
07/21/2023 00:07:41,0,0
07/21/2023 00:09:44,0,0
07/21/2023 00:11:46,0,0
07/21/2023 00:13:48,0,0
07/21/2023 00:15:50,0,0
07/21/2023 00:17:52,0,0
07/21/2023 00:19:54,0,0
07/21/2023 00:21:56,0,0
07/21/2023 00:23:59,0,0
07/21/2023 00:26:01,0,0
07/21/2023 00:28:03,0,0
07/21/2023 00:30:05,0,0
07/21/2023 00:32:07,0,0
07/21/2023 00:34:09,0,0
07/21/2023 00:36:11,0,0
07/21/2023 00:38:14,0,0
07/21/2023 00:40:16,0,0
07/21/2023 00:42:18,0,0
07/21/2023 00:44:20,0,0
07/21/2023 00:46:22,0,0
07/21/2023 00:48:24,0,0
07/21/2023 00:50:26,0,0
07/21/2023 00:52:29,0,0
07/21/2023 00:54:31,0,0
07/21/2023 00:56:33,0,0
07/21/2023 00:58:35,0,0
07/21/2023 01:00:37,0,0
07/21/2023 01:02:40,0,0
07/21/2023 01:04:42,0,0
07/21/2023 01:06:44,0,0
07/21/2023 01:08:46,0,0
07/21/2023 01:10:48,0,0
07/21/2023 01:12:50,0,0
07/21/2023 01:14:52,0,0
07/21/2023 01:16:55,0,0
07/21/2023 01:18:57,0,0
07/21/2023 01:20:59,0,0
07/21/2023 01:23:01,0,0
07/21/2023 01:25:03,0,0
07/21/2023 01:27:05,0,0
07/21/2023 01:29:07,0,0
07/21/2023 01:31:10,0,0
07/21/2023 01:33:12,0,0
07/21/2023 01:35:14,0,0
07/21/2023 01:37:16,0,0
07/21/2023 01:39:18,0,0
07/21/2023 01:41:20,0,0
07/21/2023 01:43:22,0,0
07/21/2023 01:45:25,0,0
07/21/2023 01:47:27,0,0
07/21/2023 01:49:29,0,0
07/21/2023 01:51:31,0,0
07/21/2023 01:53:33,0,0
07/21/2023 01:55:35,0,0
07/21/2023 01:57:37,0,0
07/21/2023 01:59:40,0,0
07/21/2023 02:01:42,0,0
07/21/2023 02:03:44,0,0
07/21/2023 02:05:46,0,0
07/21/2023 02:07:48,0,0
07/21/2023 02:09:50,0,0
07/21/2023 02:11:53,0,0
07/21/2023 02:13:55,0,0
07/21/2023 02:15:57,0,0
07/21/2023 02:17:59,0,0
07/21/2023 02:20:01,0,0
07/21/2023 02:22:03,0,0
07/21/2023 02:24:05,0,0
07/21/2023 02:26:07,0,0
07/21/2023 02:28:10,0,0
07/21/2023 02:30:12,0,0
07/21/2023 02:32:14,0,0
07/21/2023 02:34:16,0,0
07/21/2023 02:36:18,0,0
07/21/2023 02:38:20,0,0
07/21/2023 02:40:22,0,0
07/21/2023 02:42:25,0,0
07/21/2023 02:44:27,0,0
07/21/2023 02:46:29,0,0
07/21/2023 02:48:31,0,0
07/21/2023 02:50:33,0,0
07/21/2023 02:52:35,0,0
07/21/2023 02:54:37,0,0
