date,time,V1,V2,V3,I1,I2,I3,I4,O1,O2
04/26/2023,15:48:10,0,0,0,0,0,0,0,0,0
04/26/2023,16:04:49,14.091,4.88,20.328,0.208,0.043,0.024,0.215,20.911,0.73
04/26/2023,16:14:49,14.135,5.124,20.372,0.206,0.009,0.026,0.193,20.966,0.677
04/26/2023,16:24:49,14.135,5.185,20.328,0.206,0,0.027,0.185,20.856,0.621
04/26/2023,16:34:49,14.135,5.185,20.273,0.206,0,0.027,0.193,20.911,0.558
04/26/2023,16:44:49,14.135,5.185,20.218,0.206,0,0.027,0.189,20.966,0.495
04/26/2023,16:54:49,14.135,5.124,19.844,0.178,0.039,0.027,0.198,20.911,0.428
04/26/2023,17:04:49,14.036,4.636,19.459,0,0.433,0.026,0.196,20.856,0.359
04/26/2023,17:14:49,13.607,4.636,15.323,-0.001,0.433,0.026,0.086,18.975,0.096
04/26/2023,17:24:49,13.123,4.636,13.816,0,0.431,0.026,0.028,18.392,0.032
04/26/2023,17:34:49,13.068,4.697,13.651,-0.001,0.369,0.026,0.021,18.007,0.024
04/26/2023,17:44:49,13.068,4.697,13.607,-0.001,0.29,0.026,0.012,16.94,0.015
04/26/2023,17:54:49,13.068,4.758,13.068,0,0.242,0.026,0.005,14.575,0.007
04/26/2023,18:04:49,13.123,5.185,10.109,0,0,0.025,0.003,9.141,0.004
04/26/2023,18:14:49,13.123,5.185,1.826,0.063,0,0.026,0,1.232,0
04/26/2023,18:24:49,12.958,5.185,0.22,0.371,0,0.025,0,0.165,0
04/26/2023,18:34:49,12.958,5.185,0,0.394,0,0.026,0,0,0
04/26/2023,18:44:49,12.958,5.185,0,0.394,0,0.027,0,0,0
04/26/2023,18:54:49,12.903,5.185,0,0.393,0,0.026,0,0,0
04/26/2023,19:04:49,12.903,5.185,0,0.393,0,0.026,0,0,0
04/26/2023,19:14:49,12.903,5.185,0,0.393,0,0.025,0,0,0
04/26/2023,19:24:49,12.903,5.002,0,0.393,0.017,0.026,0,0,0
04/26/2023,19:34:49,12.903,4.758,0,0.393,0.051,0.026,0,0,0
04/26/2023,19:44:49,12.903,4.758,0,0.393,0.053,0.026,0,0,0
04/26/2023,19:54:49,12.903,4.758,0,0.393,0.045,0.026,0,0,0
04/26/2023,20:04:49,12.903,4.758,0,0.393,0.045,0.026,0,0,0
04/26/2023,20:14:49,12.903,4.758,0,0.393,0.043,0.026,0,0,0
04/26/2023,20:24:49,12.903,4.758,0,0.393,0.046,0.026,0,0,0
04/26/2023,20:34:49,12.903,4.758,0,0.393,0.046,0.026,0,0,0
04/26/2023,20:44:49,12.903,4.758,0,0.393,0.044,0.025,0,0,0
04/26/2023,20:54:49,12.903,4.758,0,0.393,0.044,0.026,0,0,0
04/26/2023,21:04:49,12.903,4.819,0,0.37,0.041,0.026,0,0,0
04/26/2023,21:14:49,13.013,5.185,0,0.163,0,0.026,0,0,0
04/26/2023,21:24:49,13.013,5.185,0,0.163,0,0.026,0,0,0
04/26/2023,21:34:49,13.013,5.185,0,0.163,0,0.026,0,0,0
04/26/2023,21:44:49,13.013,5.185,0,0.163,0,0.027,0,0,0
04/26/2023,21:54:49,13.013,5.185,0,0.163,0,0.026,0,0,0
04/26/2023,22:04:49,13.013,5.185,0,0.163,0,0.026,0,0,0
04/26/2023,22:14:49,13.013,5.185,0,0.164,0,0.026,0,0,0
04/26/2023,22:24:49,13.013,5.185,0,0.164,0,0.026,0,0,0
04/26/2023,22:34:49,13.013,5.185,0,0.164,0,0.026,0,0,0
04/26/2023,22:44:49,13.013,5.185,0,0.164,0,0.026,0,0,0
04/26/2023,22:54:49,13.013,5.185,0,0.164,0,0.026,0,0,0
04/26/2023,23:04:49,13.013,5.185,0,0.164,0,0.026,0,0,0
04/26/2023,23:14:49,12.958,5.185,0,0.164,0,0.027,0,0,0
04/26/2023,23:24:49,12.958,5.185,0,0.164,0,0.026,0,0,0
04/26/2023,23:34:49,12.958,5.185,0,0.164,0,0.025,0,0,0
04/26/2023,23:44:49,12.958,5.185,0,0.164,0,0.026,0,0,0
04/26/2023,23:54:49,12.958,5.185,0,0.164,0,0.026,0,0,0
04/27/2023,00:04:49,12.958,5.185,0,0.164,0,0.026,0,0,0
04/27/2023,00:14:49,12.958,5.185,0,0.164,0,0.027,0,0,0
04/27/2023,00:24:49,12.958,5.185,0,0.164,0,0.026,0,0,0
04/27/2023,00:34:49,12.958,5.185,0,0.164,0,0.026,0,0,0
04/27/2023,00:44:49,12.958,5.185,0,0.164,0,0.025,0,0,0
04/27/2023,00:54:49,12.958,5.185,0,0.164,0,0.025,0,0,0
04/27/2023,01:04:49,12.903,5.185,0,0.164,0,0.027,0,0,0
04/27/2023,01:14:49,12.903,5.185,0,0.164,0,0.026,0,0,0
04/27/2023,01:24:49,12.903,5.185,0,0.164,0,0.026,0,0,0
04/27/2023,01:34:49,12.903,5.185,0,0.165,0,0.026,0,0,0
04/27/2023,01:44:49,12.903,5.185,0,0.165,0,0.026,0,0,0
04/27/2023,01:54:49,12.903,5.185,0,0.165,0,0.027,0,0,0
04/27/2023,02:04:49,12.903,5.185,0,0.165,0,0.025,0,0,0
04/27/2023,02:14:49,12.903,5.185,0,0.165,0,0.025,0,0,0
04/27/2023,02:24:49,12.903,5.185,0,0.165,0,0.027,0,0,0
04/27/2023,02:34:49,12.903,5.185,0,0.165,0,0.026,0,0,0
04/27/2023,02:44:49,12.848,5.185,0,0.165,0,0.026,0,0,0
04/27/2023,02:54:49,12.848,5.185,0,0.165,0,0.026,0,0,0
04/27/2023,03:04:49,12.848,5.185,0,0.165,0,0.026,0,0,0
04/27/2023,03:14:49,12.848,5.185,0,0.165,0,0.026,0,0,0
04/27/2023,03:24:49,12.848,5.185,0,0.165,0,0.027,0,0,0
04/27/2023,03:34:49,12.848,5.185,0,0.165,0,0.025,0,0,0
04/27/2023,03:44:49,12.848,5.185,0,0.165,0,0.027,0,0,0
04/27/2023,03:54:49,12.848,5.185,0,0.165,0,0.026,0,0,0
04/27/2023,04:04:49,12.848,5.185,0,0.165,0,0.025,0,0,0
04/27/2023,04:14:49,12.848,5.185,0,0.165,0,0.026,0,0,0
04/27/2023,04:24:49,12.848,5.185,0,0.165,0,0.026,0,0,0
04/27/2023,04:34:49,12.848,5.185,0,0.165,0,0.026,0,0,0
04/27/2023,04:44:49,12.848,5.185,0,0.165,0,0.026,0,0,0
04/27/2023,04:54:49,12.848,5.185,0,0.165,0,0.026,0,0,0
04/27/2023,05:04:49,12.848,5.185,0,0.165,0,0.026,0,0,0
04/27/2023,05:14:49,12.848,5.185,0,0.165,0,0.026,0,0,0
04/27/2023,05:24:49,12.848,5.185,0,0.221,0,0.026,0,0,0
04/27/2023,05:34:49,12.738,4.88,0,0.401,0.028,0.026,0,0,0
04/27/2023,05:44:49,12.738,4.758,0.11,0.4,0.039,0.026,0,0.055,0
04/27/2023,05:54:49,12.738,4.758,0.968,0.4,0.045,0.026,0,0.748,0
04/27/2023,06:04:49,12.793,4.758,6.985,0.286,0.044,0.027,0.002,6.611,0.003
04/27/2023,06:14:49,12.903,4.758,12.793,0,0.046,0.027,0.004,14.19,0.006
04/27/2023,06:24:49,12.903,4.758,13.387,0,0.045,0.027,0.01,17.204,0.012
04/27/2023,06:34:49,12.958,5.124,13.607,0,0.002,0.027,0.017,18.436,0.02
04/27/2023,06:44:49,12.958,5.185,13.651,0,0,0.027,0.027,19.25,0.028
04/27/2023,06:54:49,12.958,5.185,14.091,0,0,0.027,0.041,19.998,0.048
04/27/2023,07:04:49,12.903,4.758,14.784,0,0.247,0.027,0.081,20.537,0.087
04/27/2023,07:14:49,12.958,4.636,15.059,0,0.253,0.027,0.12,20.911,0.128
04/27/2023,07:24:49,12.958,4.697,15.268,0,0.219,0.027,0.162,21.186,0.172
04/27/2023,07:34:49,13.013,4.697,15.488,0,0.193,0.027,0.206,21.34,0.217
04/27/2023,07:44:49,13.068,4.697,15.587,0,0.177,0.028,0.254,21.45,0.267
04/27/2023,07:54:49,13.123,4.758,15.642,0,0.147,0.027,0.305,21.56,0.32
04/27/2023,08:04:49,13.123,4.758,15.917,0,0.123,0.027,0.354,21.56,0.374
04/27/2023,08:14:49,13.167,4.758,15.862,0,0.133,0.027,0.403,21.505,0.429
04/27/2023,08:24:49,13.222,4.88,15.752,0,0.036,0.027,0.454,21.45,0.485
04/27/2023,08:34:49,13.277,5.185,15.807,-0.001,0,0.027,0.499,21.395,0.54
04/27/2023,08:44:49,13.332,5.185,15.807,0,0,0.026,0.548,21.395,0.596
04/27/2023,08:54:49,13.332,5.185,15.807,0,0,0.027,0.596,21.34,0.652
04/27/2023,09:04:49,13.332,5.185,15.917,0,0,0.027,0.658,21.34,0.726
04/27/2023,09:14:49,13.387,5.185,16.071,0,0,0.026,0.683,21.285,0.764
04/27/2023,09:24:49,13.387,5.185,16.61,0,0,0.027,0.647,21.285,0.81
04/27/2023,09:34:49,13.442,5.185,15.917,0,0,0.026,0.793,21.186,0.894
04/27/2023,09:44:49,13.497,5.185,15.807,0,0,0.026,0.839,21.131,0.94
04/27/2023,09:54:49,13.552,5.185,15.862,0,0,0.026,0.883,21.076,1.008
04/27/2023,10:04:49,13.552,5.185,15.862,0,0,0.027,0.936,20.966,1.096
04/27/2023,10:14:49,13.552,5.185,15.807,0,0,0.027,0.944,20.966,1.09
04/27/2023,10:24:49,13.552,5.185,15.752,0,0,0.027,0.971,20.856,1.128
04/27/2023,10:34:49,13.552,5.185,15.862,-0.001,0,0.027,0.998,20.702,1.2
04/27/2023,10:44:49,13.552,5.185,15.862,0,0,0.027,1.017,20.702,1.223
04/27/2023,10:54:49,13.607,5.185,16.236,0,0,0.028,0.995,20.647,1.255
04/27/2023,11:04:49,13.607,5.185,15.917,0,0,0.027,1.065,20.757,1.294
04/27/2023,11:14:49,13.651,5.185,16.071,0,0,0.027,1.111,20.856,1.323
04/27/2023,11:24:49,13.706,5.185,16.071,0,0,0.028,1.129,20.856,1.346
04/27/2023,11:34:49,13.706,5.185,16.071,0,0,0.027,1.113,20.702,1.362
04/27/2023,11:44:49,13.816,5.185,15.972,0,0,0.027,1.184,20.856,1.378
04/27/2023,11:54:49,13.981,5.185,17.468,-0.001,0,0.027,0.966,20.911,1.398
04/27/2023,12:04:49,14.135,5.185,19.998,-0.001,0,0.028,0.387,20.757,1.401
04/27/2023,12:14:49,14.135,5.185,20.427,0,0,0.028,0.187,20.757,1.37
04/27/2023,12:24:49,14.135,5.185,20.482,0,0,0.028,0.129,20.702,1.391
04/27/2023,12:34:49,14.135,5.185,20.328,-0.001,0,0.027,0.093,20.482,1.422
04/27/2023,12:44:49,14.135,5.185,19.888,-0.001,0,0.027,0.064,19.998,1.032
04/27/2023,12:54:49,14.135,5.185,20.482,-0.001,0,0.027,0.05,20.702,1.178
04/27/2023,13:04:49,14.135,5.185,20.372,0,0,0.027,0.044,20.427,1.356
04/27/2023,13:14:49,14.135,5.185,20.592,-0.001,0,0.028,0.041,20.647,1.303
04/27/2023,13:24:49,14.135,5.185,20.372,-0.001,0,0.027,0.04,20.537,1.323
04/27/2023,13:34:49,14.135,5.185,20.372,0,0,0.027,0.037,20.372,1.203
