time,V1,V2,V3,I1,I2,I3,I4,O1,O2
00:04:49,13.123,5.185,0,0,0,0.026,0,0,0
00:14:49,13.123,5.185,0,0,0,0.026,0,0,0
00:24:49,13.123,5.185,0,0,0,0.026,0,0,0
00:34:49,13.123,5.185,0,0,0,0.027,0,0,0
00:44:49,13.123,5.185,0,0,0,0.026,0,0,0
00:54:49,13.123,5.185,0,0,0,0.026,0,0,0
01:04:49,13.123,5.185,0,0,0,0.026,0,0,0
01:14:49,13.123,5.185,0,0,0,0.026,0,0,0
01:24:49,13.123,5.185,0,0,0,0.026,0,0,0
01:34:49,13.123,5.185,0,0,0,0.026,0,0,0
01:44:49,13.123,5.185,0,0,0,0.026,0,0,0
01:54:49,13.123,5.185,0,0,0,0.027,0,0,0
02:04:49,13.123,5.185,0,0,0,0.027,0,0,0
02:14:49,13.123,5.185,0,0,0,0.027,0,0,0
02:24:49,13.123,5.185,0,0,0,0.027,0,0,0
02:34:49,13.123,5.185,0,0,0,0.026,0,0,0
02:44:49,13.123,5.185,0,0,0,0.026,0,0,0
02:54:49,13.123,5.185,0,0,0,0.027,0,0,0
03:04:49,13.123,5.185,0,0,0,0.026,0,0,0
03:14:49,13.123,5.185,0,0,0,0.026,0,0,0
03:24:49,13.123,5.185,0,0,0,0.026,0,0,0
03:34:49,13.123,5.185,0,0,0,0.026,0,0,0
03:44:49,13.123,5.185,0,0,0,0.026,0,0,0
03:54:49,13.123,5.185,0,0,0,0.026,0,0,0
04:04:49,13.123,5.185,0,0,0,0.026,0,0,0
04:14:49,13.123,5.185,0,0,0,0.026,0,0,0
04:24:49,13.123,5.185,0,0,0,0.026,0,0,0
04:34:49,13.123,5.185,0,-0.001,0,0.026,0,0,0
04:44:49,13.123,5.185,0,0,0,0.026,0,0,0
04:54:49,13.123,5.185,0,0,0,0.027,0,0,0
05:04:49,13.123,5.185,0,-0.001,0,0.027,0,0,0
05:14:49,13.123,5.124,0,0,0.005,0.026,0,0,0
05:24:49,13.068,4.758,0,0.03,0.049,0.026,0,0,0
05:34:49,12.958,4.758,0,0.165,0.047,0.027,0,0,0
05:44:49,12.958,4.758,0.055,0.164,0.054,0.026,0,0.055,0
05:54:49,12.848,4.758,0.748,0.397,0.048,0.026,0,0.594,0
06:04:49,12.958,4.758,7.26,0.157,0.05,0.026,0.002,6.831,0.003
06:14:49,13.068,4.758,12.683,0,0.051,0.027,0.003,13.387,0.005
06:24:49,13.068,4.758,13.442,0,0.05,0.027,0.008,16.72,0.011
06:34:49,13.068,4.88,13.706,0,0.028,0.027,0.015,18.007,0.018
06:44:49,13.123,5.185,13.761,-0.001,0,0.027,0.023,18.821,0.026
06:54:49,13.123,5.185,14.465,0,0,0.027,0.048,19.998,0.055
07:04:49,13.123,5.185,14.839,0,0,0.027,0.072,20.273,0.082
07:14:49,13.167,5.185,15.158,0,0,0.027,0.13,20.757,0.144
07:24:49,13.222,5.185,15.862,0,0,0.028,0.189,21.021,0.21
07:34:49,13.222,5.185,15.213,-0.001,0,0.027,0.115,20.372,0.126
07:44:49,13.222,5.185,15.158,-0.001,0,0.027,0.131,20.702,0.159
07:54:49,13.332,5.185,15.807,0,0,0.027,0.338,21.45,0.355
08:04:49,13.277,5.185,18.546,0,0,0.027,0.171,21.34,0.365
08:14:49,13.387,5.185,16.071,0,0,0.027,0.388,21.45,0.422
08:24:49,13.442,5.185,16.126,0,0,0.027,0.435,21.45,0.473
08:34:49,13.442,5.185,16.027,0,0,0.027,0.498,21.45,0.551
08:44:49,13.497,5.185,16.181,0,0,0.028,0.561,21.505,0.613
08:54:49,13.442,5.185,15.972,0,0,0.027,0.536,21.34,0.592
09:04:49,13.332,5.185,15.972,0,0,0.027,0.225,20.801,0.272
09:14:49,13.332,5.185,15.488,0,0,0.027,0.268,21.021,0.288
09:24:49,13.332,5.185,15.587,0,0,0.027,0.302,21.131,0.338
09:34:49,13.387,5.185,16.027,0,0,0.027,0.336,21.131,0.363
09:44:49,13.332,5.185,15.488,0,0,0.027,0.291,20.966,0.315
09:54:49,13.332,5.185,15.697,0,0,0.027,0.307,20.966,0.332
10:04:49,13.387,5.185,15.543,0,0,0.027,0.4,21.076,0.463
10:14:49,13.607,5.246,16.665,0,0,0.027,0.924,21.395,1.072
10:24:49,13.607,5.246,16.291,-0.001,0,0.027,0.902,21.021,1.045
10:34:49,13.607,5.185,16.071,0,0,0.027,0.835,21.241,1.008
10:44:49,13.761,5.185,16.126,0,0,0.028,0.864,20.911,1.001
10:54:49,13.442,5.185,15.378,0,0,0.028,0.239,20.372,0.27
11:04:49,13.706,5.185,19.03,0,0,0.028,0.265,21.395,0.873
11:14:49,14.036,5.185,18.392,0,0,0.027,0.199,20.801,0.796
11:24:49,14.19,5.185,20.757,-0.001,0,0.027,0.091,20.911,1.243
11:34:49,14.19,5.185,20.372,0,0,0.027,0.072,20.482,1.047
11:44:49,14.19,5.185,20.218,0,0,0.027,0.06,20.482,0.471
11:54:49,14.19,5.185,20.856,0,0,0.027,0.05,20.966,1.044
12:04:49,14.19,5.185,20.218,0,0,0.028,0.047,20.427,0.656
12:14:49,14.19,5.185,20.592,0,0,0.027,0.043,20.647,1.353
12:24:49,14.19,5.185,19.679,0,0,0.028,0.039,20.108,0.626
12:34:49,14.19,5.185,20.702,0,0,0.027,0.038,20.801,1.331
12:44:49,14.19,5.185,20.372,0,0,0.028,0.037,20.372,1.27
12:54:49,14.19,5.185,20.273,0,0,0.028,0.036,20.482,0.988
13:04:49,14.19,5.185,19.998,0,0,0.027,0.035,19.998,0.931
13:14:49,14.19,5.185,19.844,0,0,0.027,0.034,20.108,0.252
13:24:49,14.19,5.185,20.328,0,0,0.028,0.034,20.482,0.256
13:34:49,14.19,5.185,20.856,-0.001,0,0.027,0.034,21.021,0.592
13:44:49,14.19,5.185,20.647,0,0,0.027,0.033,20.647,1.064
13:54:49,14.19,5.185,20.053,0,0,0.027,0.033,20.273,0.554
14:04:49,14.19,5.185,20.757,0,0,0.027,0.032,20.911,0.957
14:14:49,14.19,5.185,20.647,0,0,0.028,0.032,20.801,1.172
14:24:49,14.19,5.185,20.482,0,0,0.027,0.032,20.537,1.14
14:34:49,14.19,5.185,20.592,-0.001,0,0.027,0.032,20.702,1.156
14:44:49,14.19,5.185,20.537,0,0,0.026,0.031,20.757,0.987
14:54:49,14.19,5.185,20.482,0,0,0.028,0.032,20.482,0.877
15:04:49,14.19,5.185,20.647,-0.001,0,0.028,0.032,20.592,0.935
15:14:49,14.135,5.185,20.372,0,0,0.028,0.03,20.482,0.799
15:24:49,14.19,5.185,20.702,0,0,0.027,0.032,21.021,0.88
15:34:49,14.19,5.185,20.801,0,0,0.028,0.032,20.856,0.853
15:44:49,14.19,5.185,20.757,-0.001,0,0.028,0.032,20.801,0.794
15:54:49,14.19,5.185,20.757,-0.001,0,0.027,0.031,20.801,0.791
16:04:49,14.19,5.185,20.757,-0.001,0,0.027,0.032,20.856,0.737
16:14:49,14.19,5.185,20.801,0,0,0.027,0.032,20.856,0.678
16:24:49,14.19,5.185,20.801,-0.001,0,0.027,0.032,20.911,0.62
16:34:49,14.19,5.185,20.702,-0.001,0,0.027,0.032,20.801,0.558
16:44:49,14.19,5.185,20.647,0,0,0.027,0.032,20.757,0.493
16:54:49,14.19,5.185,20.537,0,0,0.028,0.032,20.647,0.428
17:04:49,14.19,5.185,19.998,0,0,0.027,0.032,20.218,0.3
17:14:49,14.091,5.185,14.784,0,0,0.028,0.029,18.282,0.035
17:24:49,13.926,5.185,14.575,0,0,0.028,0.024,18.227,0.028
