date,time,V1,V2,V3,I1,I2,I3,I4,O1,O2,Ppv,Pusb,Pjack,Pdl,Vbat,Vusb,Vpv,Ijack,Iusb,Idl,Ipv,VOC,ISC,Pcons
2023-05-01,00:00:00,13.123,5.185,0,0,0,0.026,0,0,0,0,0,0,0.341198,13.123,5.185,0,0,0,0.026,0,0,0,0.341198
2023-05-01,00:10:00,13.123,5.185,0,0,0,0.026,0,0,0,0,0,0,0.341198,13.123,5.185,0,0,0,0.026,0,0,0,0.341198
2023-05-01,00:20:00,13.123,5.185,0,0,0,0.026,0,0,0,0,0,0,0.341198,13.123,5.185,0,0,0,0.026,0,0,0,0.341198
2023-05-01,00:30:00,13.123,5.185,0,0,0,0.027,0,0,0,0,0,0,0.354321,13.123,5.185,0,0,0,0.027,0,0,0,0.354321
2023-05-01,00:40:00,13.123,5.185,0,0,0,0.026,0,0,0,0,0,0,0.341198,13.123,5.185,0,0,0,0.026,0,0,0,0.341198
2023-05-01,00:50:00,13.123,5.185,0,0,0,0.026,0,0,0,0,0,0,0.341198,13.123,5.185,0,0,0,0.026,0,0,0,0.341198
2023-05-01,01:00:00,13.123,5.185,0,0,0,0.026,0,0,0,0,0,0,0.341198,13.123,5.185,0,0,0,0.026,0,0,0,0.341198
2023-05-01,01:10:00,13.123,5.185,0,0,0,0.026,0,0,0,0,0,0,0.341198,13.123,5.185,0,0,0,0.026,0,0,0,0.341198
2023-05-01,01:20:00,13.123,5.185,0,0,0,0.026,0,0,0,0,0,0,0.341198,13.123,5.185,0,0,0,0.026,0,0,0,0.341198
2023-05-01,01:30:00,13.123,5.185,0,0,0,0.026,0,0,0,0,0,0,0.341198,13.123,5.185,0,0,0,0.026,0,0,0,0.341198
2023-05-01,01:40:00,13.123,5.185,0,0,0,0.026,0,0,0,0,0,0,0.341198,13.123,5.185,0,0,0,0.026,0,0,0,0.341198
2023-05-01,01:50:00,13.123,5.185,0,0,0,0.027,0,0,0,0,0,0,0.354321,13.123,5.185,0,0,0,0.027,0,0,0,0.354321
2023-05-01,02:00:00,13.123,5.185,0,0,0,0.027,0,0,0,0,0,0,0.354321,13.123,5.185,0,0,0,0.027,0,0,0,0.354321
2023-05-01,02:10:00,13.123,5.185,0,0,0,0.027,0,0,0,0,0,0,0.354321,13.123,5.185,0,0,0,0.027,0,0,0,0.354321
2023-05-01,02:20:00,13.123,5.185,0,0,0,0.027,0,0,0,0,0,0,0.354321,13.123,5.185,0,0,0,0.027,0,0,0,0.354321
2023-05-01,02:30:00,13.123,5.185,0,0,0,0.026,0,0,0,0,0,0,0.341198,13.123,5.185,0,0,0,0.026,0,0,0,0.341198
