date,time,V1,V2,V3,I1,I2,I3,I4,O1,O2,Ppv,Pusb,Pjack,Pdl,Vbat,Vusb,Vpv,Ijack,Iusb,Idl,Ipv,VOC,ISC,Pcons
2023-05-01,00:00:00,13.123,5.124,0,0,0,0.028,0,0,0,0,0,0,0.367444,13.123,5.124,0,0,0,0.028,0,0,0,0.367444
2023-05-01,00:10:00,13.123,5.124,0,0,0,0.028,0,0,0,0,0,0,0.367444,13.123,5.124,0,0,0,0.028,0,0,0,0.367444
2023-05-01,00:20:00,13.123,5.124,0,0,0,0.028,0,0,0,0,0,0,0.367444,13.123,5.124,0,0,0,0.028,0,0,0,0.367444
2023-05-01,00:30:00,13.123,5.124,0,0,0,0.028,0,0,0,0,0,0,0.367444,13.123,5.124,0,0,0,0.028,0,0,0,0.367444
2023-05-01,00:40:00,13.123,5.124,0,0,0,0.028,0,0,0,0,0,0,0.367444,13.123,5.124,0,0,0,0.028,0,0,0,0.367444
2023-05-01,00:50:00,13.123,5.124,0,0,0,0.028,0,0,0,0,0,0,0.367444,13.123,5.124,0,0,0,0.028,0,0,0,0.367444
2023-05-01,01:00:00,13.123,5.124,0,0,0,0.028,0,0,0,0,0,0,0.367444,13.123,5.124,0,0,0,0.028,0,0,0,0.367444
2023-05-01,01:10:00,13.123,5.124,0,0,0,0.028,0,0,0,0,0,0,0.367444,13.123,5.124,0,0,0,0.028,0,0,0,0.367444
2023-05-01,01:20:00,13.123,5.124,0,0,0,0.028,0,0,0,0,0,0,0.367444,13.123,5.124,0,0,0,0.028,0,0,0,0.367444
2023-05-01,01:30:00,13.123,5.124,0,0,0,0.028,0,0,0,0,0,0,0.367444,13.123,5.124,0,0,0,0.028,0,0,0,0.367444
2023-05-01,01:40:00,13.123,5.124,0,0,0,0.028,0,0,0,0,0,0,0.367444,13.123,5.124,0,0,0,0.028,0,0,0,0.367444
2023-05-01,01:50:00,13.123,5.124,0,0,0,0.027,0,0,0,0,0,0,0.354321,13.123,5.124,0,0,0,0.027,0,0,0,0.354321
2023-05-01,02:00:00,13.123,5.124,0,0,0,0.028,0,0,0,0,0,0,0.367444,13.123,5.124,0,0,0,0.028,0,0,0,0.367444
2023-05-01,02:10:00,13.123,5.124,0,0,0,0.028,0,0,0,0,0,0,0.367444,13.123,5.124,0,0,0,0.028,0,0,0,0.367444
2023-05-01,02:20:00,13.123,5.124,0,0,0,0.027,0,0,0,0,0,0,0.354321,13.123,5.124,0,0,0,0.027,0,0,0,0.354321
2023-05-01,02:30:00,12.958,5.124,0,0.173,0,0.028,0,0,0,0,0,2.241734,0.362824,12.958,5.124,0,0.173,0,0.028,0,0,0,2.604558
2023-05-01,02:40:00,12.903,5.063,0,0.265,0,0.028,0,0,0,0,0,3.419295,0.361284,12.903,5.063,0,0.265,0,0.028,0,0,0,3.780579
2023-05-01,02:50:00,12.848,5.063,0,0.265,0,0.028,0,0,0,0,0,3.40472,0.359744,12.848,5.063,0,0.265,0,0.028,0,0,0,3.764464
2023-05-01,03:00:00,12.848,5.063,0,0.274,0,0.028,0,0,0,0,0,3.520352,0.359744,12.848,5.063,0,0.274,0,0.028,0,0,0,3.880096
2023-05-01,03:10:00,12.738,5.063,0,0.439,0,0.027,0,0,0,0,0,5.591982,0.343926,12.738,5.063,0,0.439,0,0.027,0,0,0,5.935908
2023-05-01,03:20:00,12.738,5.063,0,0.439,0,0.028,0,0,0,0,0,5.591982,0.356664,12.738,5.063,0,0.439,0,0.028,0,0,0,5.948646
2023-05-01,03:30:00,12.738,5.063,0,0.439,0,0.028,0,0,0,0,0,5.591982,0.356664,12.738,5.063,0,0.439,0,0.028,0,0,0,5.948646
2023-05-01,03:40:00,12.738,5.063,0,0.439,0,0.027,0,0,0,0,0,5.591982,0.343926,12.738,5.063,0,0.439,0,0.027,0,0,0,5.935908
2023-05-01,03:50:00,12.738,5.063,0,0.433,0,0.028,0,0,0,0,0,5.515554,0.356664,12.738,5.063,0,0.433,0,0.028,0,0,0,5.872218
2023-05-01,04:00:00,12.958,5.124,0,0.02,0,0.028,0,0,0,0,0,0.25916,0.362824,12.958,5.124,0,0.02,0,0.028,0,0,0,0.621984
2023-05-01,04:10:00,13.013,5.124,0,0,0,0.028,0,0,0,0,0,0,0.364364,13.013,5.124,0,0,0,0.028,0,0,0,0.364364
2023-05-01,04:20:00,13.013,5.124,0,0,0,0.028,0,0,0,0,0,0,0.364364,13.013,5.124,0,0,0,0.028,0,0,0,0.364364
2023-05-01,04:30:00,13.068,5.124,0,0,0,0.028,0,0,0,0,0,0,0.365904,13.068,5.124,0,0,0,0.028,0,0,0,0.365904
2023-05-01,04:40:00,13.068,5.124,0,0,0,0.029,0,0,0,0,0,0,0.378972,13.068,5.124,0,0,0,0.029,0,0,0,0.378972
2023-05-01,04:50:00,13.068,5.124,0,0,0,0.028,0,0,0,0,0,0,0.365904,13.068,5.124,0,0,0,0.028,0,0,0,0.365904
2023-05-01,05:00:00,13.068,5.124,0,0,0,0.028,0,0,0,0,0,0,0.365904,13.068,5.124,0,0,0,0.028,0,0,0,0.365904
2023-05-01,05:10:00,13.068,5.124,0,0,0,0.028,0,0,0,0,0,0,0.365904,13.068,5.124,0,0,0,0.028,0,0,0,0.365904
2023-05-01,05:20:00,13.068,5.124,0,0,0,0.028,0,0,0,0,0,0,0.365904,13.068,5.124,0,0,0,0.028,0,0,0,0.365904
2023-05-01,05:30:00,13.068,5.124,0,0,0,0.028,0,0,0,0,0,0,0.365904,13.068,5.124,0,0,0,0.028,0,0,0,0.365904
2023-05-01,05:40:00,13.068,5.124,0.055,0,0,0.029,0,0.055,0,0,0,0,0.378972,13.068,5.124,0.055,0,0,0.029,0,0.055,0,0.378972
2023-05-01,05:50:00,13.068,5.124,1.287,0,0,0.028,0,0.968,0,0,0,0,0.365904,13.068,5.124,1.287,0,0,0.028,0,0.968,0,0.365904
2023-05-01,06:00:00,13.068,5.124,8.338,0,0,0.029,0.002,7.854,0.003,0.016676,0,0,0.378972,13.068,5.124,8.338,0,0,0.029,0.002,7.854,0.003,0.378972
2023-05-01,06:10:00,13.068,5.063,13.068,0,0,0.029,0.004,13.926,0.005,0.052272,0,0,0.378972,13.068,5.063,13.068,0,0,0.029,0.004,13.926,0.005,0.378972
2023-05-01,06:20:00,12.958,4.941,13.706,0,0.348,0.029,0.008,16.456,0.011,0.109648,1.719468,0,0.375782,12.958,4.941,13.706,0,0.348,0.029,0.008,16.456,0.011,2.09525
